Paper_ID,DOI,Role,Figure_number,PDF_page,Figure_types,Caption_excerpt,Caption_word_count,Source_status,Panel_count_estimated,Column_span,Text_density
P001,10.1109/tac.2021.3097706,A,1,6,UNCLASSIFIED,Depiction of the conditional value at risk at level α =,11,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P001,10.1109/tac.2021.3097706,A,2,9,TRAJECTORY; ROBUSTNESS,(a) Step trajectory of quadcopter using distributionally robust DeePC Algorithm 1; (b)–(c) Dependence of tracking error,16,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,3,UNKNOWN,UNKNOWN
P002,10.1109/tac.2022.3144107,A,1,5,UNCLASSIFIED,Command ﬁlter used for implementation. The dirty derivative,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P002,10.1109/tac.2022.3144107,A,2,9,UNCLASSIFIED,Group of thrust propelled vehicles and Inertial frame.,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P002,10.1109/tac.2022.3144107,A,3,10,UNCLASSIFIED,Block diagram of the hierarchical control approach.,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P002,10.1109/tac.2022.3144107,A,4,12,UNCLASSIFIED,Interaction topology: directed spanning tree.,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P002,10.1109/tac.2022.3144107,A,5,12,TRAJECTORY,Paths of the agents. The dashed black hexagon represents the,10,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P002,10.1109/tac.2022.3144107,A,6,12,UNCLASSIFIED,Distances between neighbor UAVs. The dashed red line cor-,9,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P003,10.1109/tac.2026.3653296,A,1,3,UNCLASSIFIED,Venn diagram of labels at two consecutive steps k−1 and k.,11,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P003,10.1109/tac.2026.3653296,A,2,5,UNCLASSIFIED,Representation of the open distance (curly brace) and the open,10,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P003,10.1109/tac.2026.3653296,A,3,5,UNCLASSIFIED,Representation of the open distance (curly brace) and the open,10,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P003,10.1109/tac.2026.3653296,A,4,5,UNCLASSIFIED,Representation of the shadow distance compared to the stan-,9,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P003,10.1109/tac.2026.3653296,A,5,10,QUANTITATIVE_RESULT,"Comparison between Open ADMM, OPDC in [2], OpenRC",8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P003,10.1109/tac.2026.3653296,A,6,12,QUANTITATIVE_RESULT,Comparison of Open ADMM with the state-of-the-art,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P003,10.1109/tac.2026.3653296,A,7,12,QUANTITATIVE_RESULT,Comparison of Open ADMM performance while solv-,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P004,10.1109/tac.2023.3317728,A,1,7,UNCLASSIFIED,reports the evolution of the MAS dynamics in,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P004,10.1109/tac.2023.3317728,A,2,7,UNCLASSIFIED,Example of OMAS dynamics when gk,6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P004,10.1109/tac.2023.3317728,A,3,8,UNCLASSIFIED,"In the OMAS setting, the sum of the initial states of the",12,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P004,10.1109/tac.2023.3317728,A,4,8,UNCLASSIFIED,"Evolution of the Lyapunov function W k, in both a MAS",11,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P005,10.1109/tac.2024.3386024,A,1,2,SCENARIO,Environment and the corresponding RMPN’s quotient. (a) En-,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P005,10.1109/tac.2024.3386024,A,2,3,UNCLASSIFIED,Example of BA and Büchi PN. (a) BA for the L TL formula in Ex.,15,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P005,10.1109/tac.2024.3386024,A,3,3,UNCLASSIFIED,provides a general overview of the entire proposed solution,9,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P005,10.1109/tac.2024.3386024,A,4,4,UNCLASSIFIED,"Part of the composed PN, based on active and inactive obser-",11,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
P005,10.1109/tac.2024.3386024,A,5,7,UNCLASSIFIED,"Returned trajectories for Example 7.2 (red - r1; green - r2,b l u e- r3, magenta - r4,b l a c k-r5, yellow - r6). (a) With Büchi (six robots).",30,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,1,UNKNOWN,UNKNOWN
