Paper_ID,DOI,Role,Claim_Type,Evidence_Types_Detected,Evidence_Count,Source,Interpretation_Status
P001,10.1109/tac.2021.3097706,A,ROBUSTNESS,NO_EXPLICIT_MATCH,0,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Coulson_2021_TAC_Distributionally-Robust-Chance-Constrained-Data-Enabled-Predictive-Con.pdf,AUTOMATED_CROSS_SECTION_MATCH; requires human confirmation
P001,10.1109/tac.2021.3097706,A,SAFETY,MAIN_COMPARISON,1,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Coulson_2021_TAC_Distributionally-Robust-Chance-Constrained-Data-Enabled-Predictive-Con.pdf,AUTOMATED_CROSS_SECTION_MATCH; requires human confirmation
P002,10.1109/tac.2022.3144107,A,ROBUSTNESS,ROBUSTNESS,1,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Restrepo_2022_TAC_Robust-Consensus-of-High-Order-Systems-Under-Output-Constraints-Applic.pdf,AUTOMATED_CROSS_SECTION_MATCH; requires human confirmation
P002,10.1109/tac.2022.3144107,A,STABILITY,NO_EXPLICIT_MATCH,0,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Restrepo_2022_TAC_Robust-Consensus-of-High-Order-Systems-Under-Output-Constraints-Applic.pdf,AUTOMATED_CROSS_SECTION_MATCH; requires human confirmation
P002,10.1109/tac.2022.3144107,A,SAFETY,NO_EXPLICIT_MATCH,0,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Restrepo_2022_TAC_Robust-Consensus-of-High-Order-Systems-Under-Output-Constraints-Applic.pdf,AUTOMATED_CROSS_SECTION_MATCH; requires human confirmation
P002,10.1109/tac.2022.3144107,A,COORDINATION,NO_EXPLICIT_MATCH,0,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Restrepo_2022_TAC_Robust-Consensus-of-High-Order-Systems-Under-Output-Constraints-Applic.pdf,AUTOMATED_CROSS_SECTION_MATCH; requires human confirmation
P002,10.1109/tac.2022.3144107,A,CONVERGENCE,NO_EXPLICIT_MATCH,0,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Restrepo_2022_TAC_Robust-Consensus-of-High-Order-Systems-Under-Output-Constraints-Applic.pdf,AUTOMATED_CROSS_SECTION_MATCH; requires human confirmation
P003,10.1109/tac.2026.3653296,A,ACCURACY,MAIN_COMPARISON,1,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Deplano_2026_TAC_Optimization-and-Learning-in-Open-Multiagent-Systems.pdf,AUTOMATED_CROSS_SECTION_MATCH; requires human confirmation
P003,10.1109/tac.2026.3653296,A,ROBUSTNESS,NO_EXPLICIT_MATCH,0,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Deplano_2026_TAC_Optimization-and-Learning-in-Open-Multiagent-Systems.pdf,AUTOMATED_CROSS_SECTION_MATCH; requires human confirmation
P003,10.1109/tac.2026.3653296,A,GENERALIZATION,GENERALIZATION; CROSS_SCENARIO,2,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Deplano_2026_TAC_Optimization-and-Learning-in-Open-Multiagent-Systems.pdf,AUTOMATED_CROSS_SECTION_MATCH; requires human confirmation
P003,10.1109/tac.2026.3653296,A,COORDINATION,MAIN_COMPARISON,1,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Deplano_2026_TAC_Optimization-and-Learning-in-Open-Multiagent-Systems.pdf,AUTOMATED_CROSS_SECTION_MATCH; requires human confirmation
P003,10.1109/tac.2026.3653296,A,CONVERGENCE,MAIN_COMPARISON,1,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Deplano_2026_TAC_Optimization-and-Learning-in-Open-Multiagent-Systems.pdf,AUTOMATED_CROSS_SECTION_MATCH; requires human confirmation
P003,10.1109/tac.2026.3653296,A,CONTROL_PERFORMANCE,MAIN_COMPARISON,1,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Deplano_2026_TAC_Optimization-and-Learning-in-Open-Multiagent-Systems.pdf,AUTOMATED_CROSS_SECTION_MATCH; requires human confirmation
P004,10.1109/tac.2023.3317728,A,ACCURACY,NO_EXPLICIT_MATCH,0,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Oliva_2023_TAC_A-Sum-of-States-Preservation-Framework-for-Open-Multiagent-Systems-Wit.pdf,AUTOMATED_CROSS_SECTION_MATCH; requires human confirmation
P004,10.1109/tac.2023.3317728,A,GENERALIZATION,GENERALIZATION,1,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Oliva_2023_TAC_A-Sum-of-States-Preservation-Framework-for-Open-Multiagent-Systems-Wit.pdf,AUTOMATED_CROSS_SECTION_MATCH; requires human confirmation
P004,10.1109/tac.2023.3317728,A,COORDINATION,NO_EXPLICIT_MATCH,0,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Oliva_2023_TAC_A-Sum-of-States-Preservation-Framework-for-Open-Multiagent-Systems-Wit.pdf,AUTOMATED_CROSS_SECTION_MATCH; requires human confirmation
P004,10.1109/tac.2023.3317728,A,CONVERGENCE,NO_EXPLICIT_MATCH,0,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Oliva_2023_TAC_A-Sum-of-States-Preservation-Framework-for-Open-Multiagent-Systems-Wit.pdf,AUTOMATED_CROSS_SECTION_MATCH; requires human confirmation
P005,10.1109/tac.2024.3386024,A,SCALABILITY,SCALABILITY; RUNTIME,2,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Hustiu_2024_TAC_On-Multirobot-Path-Planning-Based-on-Petri-Net-Models-and-LTL-Specific.pdf,AUTOMATED_CROSS_SECTION_MATCH; requires human confirmation
P006,10.1109/taes.2024.3401668,A,COORDINATION,MAIN_COMPARISON,1,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAES\Wen_2024_TAES_Optimized-Fuzzy-Attitude-Control-of-Quadrotor-Unmanned-Aerial-Vehicle-.pdf,AUTOMATED_CROSS_SECTION_MATCH; requires human confirmation
