paper	figure	page	panels_and_encoding	purpose_and_context	transfer_and_boundary
R01	1	1	上下两幅：森林实景标无人机/行人；彩色高度地图叠蓝色飞行轨迹和橙色目标观测。	先建立真实追踪场景，再给空间对应关系。	可学实景+地图配对；地图本身不证明误差小。
R01	2	2	白灰系统框图；传感器→预测/地图/VIO→虚线分组的搜索、走廊、优化→控制器。	说明板载系统怎样闭环，而非只列方法名。	箭头写数据对象；各模块必须对应本稿实现。
R01	3	3	浅蓝网格上蓝色历史轨迹、绿色递增权重箭头、红色未来预测。	解释近期观测加权的预测机制。	用几何小图表达权重改变预测；不当作实测精度图。
R01	4	4	横向四时刻：橙色搜索、蓝色旧预测、绿色安全走廊、红色新路径与蓝色障碍。	目标丢失后搜索、遇新障碍重规划、重新捕获的事件顺序。	保留事件因果与统一颜色；不是四次独立试验。
R01	5	4	当前无人机、蓝色目标预测、沿预测移动的红色目标状态；棕色搜索树与紫色解析连接。	解释搜索终点随时间传播。	把固定目标/移动目标的算法差异画出来。
R01	6	5	A当前扩展点、B当前目标、C未来目标、D加权目标；虚线距离和ΔD。	把启发式代价的几何含义可视化。	符号图无数值坐标，不冒充轨迹结果。
R01	7	5	平台照片加标注：Manifold2-c、N3、D435i、广角相机阵列。	界定传感与计算条件。	用本机照片和真实设备名。
R01	8	5	上下实景/地图；门洞、环形障碍、起终点与目标观测。	室内复杂场景中的追踪和重定位。	图中事件编号与日志对齐。
R01	9	6	同一三维障碍图内蓝色本文/红色基线追踪及加速度云，黑虚线目标预测。	展示运动平滑性和跟踪差异；总体成功指标另在表中。	彩色云是加速度表达，不是置信区间。
R02	1	1	七机六边形实景+对应RViz路径上下排列，蓝线勾勒队形。	展示真实分布式编队。	蓝线为形状轮廓，不能解释为通信拓扑。
R02	2	3	左相似性代价三维曲面，右二维梯度场；红色期望正方形、洋红极小点。	解释可微形状度量如何推动单机位置调整。	机制曲面需计算定义，不用装饰性曲面替代。
R02	3	5	2行×3列：基线/本文为行，关键时刻为列；同障碍、队形轮廓、误差标记。	直观看狭窄空间中的形状保持与碰撞差异。	固定镜头和条件；群体统计由实验表支持。
R02	4	5	走廊实景叠三时刻四面体队形，蓝色边，运动从右到左。	转动/压缩队形通过窄口。	明确时间顺序与曝光间隔。
R02	5	6	上部长条全程轨迹，下排五个等间隔队形快照；十机心形，个体颜色固定。	模拟大编队长程穿越。	全局路径与局部形变配对；标明仿真。
R02	6	6	淡黄UAV容器、绿色传感器、蓝色规划、紫色广播；自身/邻机轨迹进出网络。	展示真正分布式所需消息。	画清广播载荷，不用无标签双向箭头。
R03	1	1	左上点云路径、左下实飞叠影，右侧球形走廊。	把高速实飞和安全空间表示联系起来。	场景、路径、表示三类证据互补。
R03	2	1	横条图：方法类别→最大速度m/s。	定位速度能力；基线来自不同论文/环境/传感设置。	只能做有条件的文献概览，不能当同条件排名。
R03	3	3	绿色重叠球链、橙色连接点q_i、蓝色分段轨迹、紫色T_i时间括号。	解释空间走廊与时间分配的对应。	每段轨迹、边界点、时间变量一一对应。
R03	4	4	球心o、最近障碍n、扣除机体半径的安全球、起止点、蓝曲线和时间T。	解释几何安全余量。	把机器人尺寸写入图示。
R03	5	4	灰障碍、绿旧球、蓝选中球、紫候选中心、橙色采样密度朝黄色引导点。	展示候选采样到选球的具体操作。	学习选中/未选中/方向三种编码。
R03	6	5	左两种三维走廊，右上下曲线分别为交叠体积与球体积vs球序号；100次范围带。	几何优势与量化空间余量配套。	原文范围为min/max，不能改称CI。
R03	7	5	三个几何状态，绿/粉虚线规划视野，复用绿球与新蓝球。	解释滚动规划的热启动与走廊复用。	用旧/新元素区分计算复用。
R03	8	6	两种方法飞行地图，速度色条0–15m/s，星号起点和LiDAR点。	相同仿真场景比较速度与避障行为。	速度色条不能同时代表方法。
R03	9	6	三方法成功率热图；横轴森林密度1/l²，纵轴前向速度m/s，各条件10次。	定位速度—环境复杂度的失效边界。	共享色标并报告试验分母。
R03	10	7	横排四个森林密度子图；x速度m/s、y成功率%，五种模块组合线。	拆解Front/MINCO/RHC的贡献。	按条件分面比把所有曲线堆一轴清楚；不是训练曲线。
R03	11	7	十一段独立实飞轨迹叠地图、#1–#11、速度色条。	显示不同真实路线的速度表现。	注明离线地图配准及去树冠处理；不是一次连续飞行。
R03	12	8	两次试验上下排；速度模与加速度模vs时间，各自单位，虚线动力学限值。	验证高速轨迹的动态可行性。	双量纲需要明确双轴或分轴，不能漏单位。
R04	1	1	十六机实景与离线合并RViz轨迹上下排。	实际大规模编队总览。	离线合并地图不代表在线全局共享。
R04	2	4	五层架构：平台、适应、预测、弹性、韧性；彩色层内有真实平台/代价曲面/队形几何缩图，右侧同色网络消息。	把文章五项能力连接到具体计算模块和广播量。	借鉴分层+操作缩图；层名必须来自本稿机制。
R04	3	5	上部代价曲面/梯度场，下部带时刻的最优位置序列。	解释形状度量与时变最优队形。	与R02同研究家族，不能当独立两票统计。
R04	4	9	左右对比：蓝当前机器人、绿初始目标、红对齐目标；交叉红分配变为不交叉蓝分配。	ALAS同时改变对齐和任务分配。	保留前后同一机器人身份。
R04	5	9	窄走廊前后几何，墙边机器人约束感知高，粉目标变蓝压缩队形。	解释约束感知怎样驱动队形变形。	画出权重来源与几何后果。
R04	6	10	上下冲突红路径/无冲突蓝路径，旁边配ALAS点集。	解释全局重映射GRLR与局部分配耦合。	不是仅画一个全局规划器盒子。
R04	7	12	上部森林，下部四种队形几何，共a–e五面板。	界定仿真环境和形状任务。	环境与任务分开编号。
R04	8	13	上下有/无ALAS；橙实际路径、蓝全局参考、红队形。	显示初始乱序条件下的重组差异。	前后保持相同初态与障碍。
R04	9	14	上两幅有/无ALAS穿窄口，下部相似误差与约束感知曲线。	把队形形变与约束压力/误差联系起来。	缩略页小字轴需原页复核，不能臆填横轴单位。
R04	10	14	左右空间规划比较；紫凸多面体基线vs本文配置搜索。	展示可行队形通路。	长度、尺度等统计另查表，不从透视图量取。
R04	11	15	x机器人数量、y计算时间ms；两方法线与15机竖标。	验证随群规模的计算扩展。	标硬件及计时范围。
R04	12	15	真实机群平台照片。	交代硬件实现。	借布局不复用他人平台为本机。
R04	13	15	四面体过走廊实景叠影、蓝形状边。	真实窄通道形变。	与R02-F4关联，禁止重复计为独立新实验。
R04	14	16	a–c左侧三排实景+RViz；d左下相似性误差vs秒及重规划事件；e右侧高幅俯视全轨迹，对应三段队形。	同一任务中实景、空间演变、重规划和误差共同解释形变。	约左2/3右1/3；事件/颜色/时间统一，是组合图首选范本。
R04	15	17	宽幅FAST字形变化轨迹，时间渐变色条0–30s，四个形状时刻。	展示复杂队形重构过程。	渐变颜色表示时间，不表示机器人类别。
R04	16	17	迷宫俯视：蓝全局路径忽略细障碍，局部执行轨迹避开，起终点与队形。	解释全局引导与局部规划分工。	区分参考与执行线型。
R04	17	17	大群双箭头仿真透视，机器人剪影与轨迹。	定性大规模展示。	不能代替成功率和延迟统计。
R05	1	1	真实照片叠两次抛球、红橙球轨迹、0.3s无人机叠影、黄色规划起点。	高动态连续捕获的任务入口。	明确叠影间隔与抛球间隔。
R05	2	2	蓝策略搜索、黄目标预测、橙运动基元、绿终端柔性优化、红控制线，串联到真机。	RL决定捕获时机，再由规划器产生可行轨迹。	不能把高层时间动作画成电机直接控制。
R05	3	3	半透明无人机与网、紫捕获平面、橙球、坐标系、R/t和速度夹角。	展示柔性终端约束而非固定点碰撞。	把接触几何与优化变量显式连接。
R05	4	5	左绿观测组→蓝两层64神经元ReLU网络→黄捕获时间动作；下灰轨迹生成/优化/跟随闭环。	具体解释RL输入、动作和模型规划关系。	可模仿网络+物理回路布局，动作语义必须本稿真实。
R05	5	6	上下两族解析平滑函数，橙L_mu与蓝C_mu；x和值轴、参数μ色条。	解释约束光滑近似。	不是训练曲线，不能以图形像折线就归为RL收敛。
R05	6	8	a顶部宽实景三次捕获及同色圆形放大；b三维位置XYZm；c机载网尺寸；d抛球机；e–h速度、角速度、推力、jerk随秒及界限。	把捕获动作、装置尺度和动力学可行性接成证据链。	连续成功片段是展示样例，不替代全部试验成功率。
R05	7	9	三项基线动力学曲线：速度、角速度、推力vs时间及限制。	用约束违反解释捕获失败。	与本文曲线使用同单位、界限和时间定义。
R05	8	9	四种三维目标运动：抛物线、谐波、三角形、六边形，配无人机捕获路径。	评估不同目标形态的模拟适用性。	PPO训练存在但正文未见训练曲线；新增训练图属本稿设计。
R06	1	1	T形路口地图，灰障碍、绿目标、蓝本文/橙盲跟踪、红绿视线及遮挡注释。	先展示不理解转向意图会丢失可见性的困难。	动机图应画出失效步骤。
R06	2	2	左上真机左下感知缩图；右侧黄意图/蓝预测/绿可见性优化分组，黑虚线圆角容器，内部操作缩图。	人体意图如何改变预测与可见约束。	首选机制框图风格：浅色区域+具体小图+有语义连线。
R06	3	3	三列人体关节检测图、躯干四关节几何、肩部朝向转弯示意。	从像素关键点导出意图。	保留感知到几何变量的桥梁。
R06	4	3	黄色/绿色左右可达扇区、蓝斜线障碍、红历史轨迹。	对比左右转向的空间可能性。	扇区是可达集合，不是成功概率热图。
R06	5	5	红预测分支、绿色无挡可见域、轨迹点和障碍。	把意图预测连到追踪空间约束。	区分预测、候选和执行轨迹。
R06	6	5	非对称可见扇区、角度θ和边界裕度、目标点和障碍。	解释意图改变视角分配。	方法独有的非对称性需要在小图上可见。
R06	7	6	a两行三时刻对比，b完整拥挤路径，c遮挡比例柱图vs最大目标速度1/1.5/2m/s。	局部遮挡机制+整体行为+批量统计。	遮挡比例与遮挡秒数不得混写；样本规模查正文。
R06	8	6	a两幅相对位置XY热图加红视场边界；b速度与水平跟踪距离vs秒，安全界线。	急减速中同时看安全距离和可见性。	热图和时序来源需对应同一条件，不能只展示路径。
R06	9	7	a三时刻RViz可见锥；b真实目标/跟踪无人机叠影。	实飞转弯可见性。	使用同步事件标记。
