Paper_ID,DOI,Title,Journal,Relevance,Teaching_value_1_5,Original_primary_role,Audited_primary_role,Domains,Evidence_layer_count,Decision,Reason
P082,10.1109/tro.2025.3530348,GCBF+: A Neural Graph Control Barrier Function Framework for Distributed Safe Multiagent Control,TRO,PASS,5,INTRODUCTION,INTRODUCTION,UAV_AUTONOMY; RL_MARL; MULTI_AGENT_DECISION; NAVIGATION_PLANNING; CONTROL; ROBOTICS,6,KEEP,"Retained for primary role INTRODUCTION, with domain coverage UAV_AUTONOMY, RL_MARL, MULTI_AGENT_DECISION, NAVIGATION_PLANNING, CONTROL, ROBOTICS and 6 detected evidence layers."
P045,10.1109/tie.2024.3363761,Semantic-Driven Autonomous Visual Navigation for Unmanned Aerial Vehicles,TIE,PASS,3,STRUCTURE,FIGURE_ARCHITECTURE,UAV_AUTONOMY; RL_MARL; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; ROBOTICS,3,KEEP,"Retained for primary role FIGURE_ARCHITECTURE, with domain coverage UAV_AUTONOMY, RL_MARL, NAVIGATION_PLANNING, TRAJECTORY_OPTIMIZATION, ROBOTICS and 3 detected evidence layers."
P027,10.1109/tcst.2025.3533378,Robust Predictive Motion Planning by Learning Obstacle Uncertainty,TCST,PASS,5,PROBLEM_FORMULATION,PROBLEM_FORMULATION,RL_MARL; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,5,KEEP,"Retained for primary role PROBLEM_FORMULATION, with domain coverage RL_MARL, NAVIGATION_PLANNING, TRAJECTORY_OPTIMIZATION, CONTROL, ROBOTICS and 5 detected evidence layers."
P092,10.1109/tsmc.2026.3720408,Socially Aware Robot Crowd Navigation via Online Uncertainty-Driven Risk Adaptation,TSMCS,PASS,4,METHODOLOGY,METHODOLOGY,RL_MARL; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,5,KEEP,"Retained for primary role METHODOLOGY, with domain coverage RL_MARL, NAVIGATION_PLANNING, TRAJECTORY_OPTIMIZATION, CONTROL, ROBOTICS and 5 detected evidence layers."
P046,10.1109/tie.2025.3536628,Model Predictive Optimization and Terminal Sliding Mode Motion Control for Mobile Robot With Obstacle Avoidance,TIE,PASS,5,THEORY,THEORY,NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,4,KEEP,"Retained for primary role THEORY, with domain coverage NAVIGATION_PLANNING, TRAJECTORY_OPTIMIZATION, CONTROL, ROBOTICS and 4 detected evidence layers."
P083,10.1109/tro.2021.3137751,"Kimera-Multi: Robust, Distributed, Dense Metric-Semantic SLAM for Multi-Robot Systems",TRO,PASS,4,EXPERIMENT_ARCHITECTURE,EXPERIMENT_ARCHITECTURE,RL_MARL; MULTI_AGENT_DECISION; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; ROBOTICS,5,KEEP,"Retained for primary role EXPERIMENT_ARCHITECTURE, with domain coverage RL_MARL, MULTI_AGENT_DECISION, NAVIGATION_PLANNING, TRAJECTORY_OPTIMIZATION, ROBOTICS and 5 detected evidence layers."
P077,10.1109/tnnls.2021.3056046,Certifiable Robustness to Adversarial State Uncertainty in Deep Reinforcement Learning,TNNLS,PASS,3,FIGURE,ROBUSTNESS_DESIGN,RL_MARL; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,3,KEEP,"Retained for primary role ROBUSTNESS_DESIGN, with domain coverage RL_MARL, NAVIGATION_PLANNING, TRAJECTORY_OPTIMIZATION, CONTROL, ROBOTICS and 3 detected evidence layers."
P033,10.1109/tcyb.2023.3246985,Learning-Based Multi-UAV Flocking Control With Limited Visual Field and Instinctive Repulsion,TCYB,PASS,4,TABLE,TABLE_ARCHITECTURE,UAV_AUTONOMY; RL_MARL; MULTI_AGENT_DECISION; CONTROL,4,KEEP,"Retained for primary role TABLE_ARCHITECTURE, with domain coverage UAV_AUTONOMY, RL_MARL, MULTI_AGENT_DECISION, CONTROL and 4 detected evidence layers."
P016,10.1109/tase.2025.3558945,Dynamic Charging and Path Planning for UAV-Powered Rechargeable WSNs Using Multi-Agent Deep Reinforcement Learning,TASE,PASS,3,RESULT_NARRATIVE,RESULT_NARRATIVE,UAV_AUTONOMY; RL_MARL; MULTI_AGENT_DECISION; NAVIGATION_PLANNING; ROBOTICS,3,KEEP,"Retained for primary role RESULT_NARRATIVE, with domain coverage UAV_AUTONOMY, RL_MARL, MULTI_AGENT_DECISION, NAVIGATION_PLANNING, ROBOTICS and 3 detected evidence layers."
P047,10.1109/tie.2023.3306405,Real-Time Dynamic Obstacle Avoidance for Robot Manipulators Based on Cascaded Nonlinear MPC With Artificial Potential Field,TIE,PASS,4,REAL_WORLD,REAL_WORLD_VALIDATION,NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,3,KEEP,"Retained for primary role REAL_WORLD_VALIDATION, with domain coverage NAVIGATION_PLANNING, TRAJECTORY_OPTIMIZATION, CONTROL, ROBOTICS and 3 detected evidence layers."
P017,10.1109/tase.2024.3432405,Constrained Reinforcement Learning Using Distributional Representation for Trustworthy Quadrotor UAV Tracking Control,TASE,PASS,5,CONTROL,CONTROL,UAV_AUTONOMY; RL_MARL; CONTROL,6,KEEP,"Retained for primary role CONTROL, with domain coverage UAV_AUTONOMY, RL_MARL, CONTROL and 6 detected evidence layers."
P066,10.1109/tiv.2025.3598768,Securing End-to-End Reinforcement Learning-Driven Autonomous Driving: A Control Command Utility-Based Intrusion Response System,TIV,PASS,4,RL_MARL,RL_MARL,RL_MARL; CONTROL,7,KEEP,"Retained for primary role RL_MARL, with domain coverage RL_MARL, CONTROL and 7 detected evidence layers."
P085,10.1109/tro.2022.3232300,Maximum-Entropy Multi-Agent Dynamic Games: Forward and Inverse Solutions,TRO,PASS,4,MULTI_AGENT,MULTI_AGENT,RL_MARL; MULTI_AGENT_DECISION; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,4,KEEP,"Retained for primary role MULTI_AGENT, with domain coverage RL_MARL, MULTI_AGENT_DECISION, NAVIGATION_PLANNING, TRAJECTORY_OPTIMIZATION, CONTROL, ROBOTICS and 4 detected evidence layers."
P048,10.1109/tie.2025.3639779,EDEN: Efficient Dual-Layer Exploration Planning for Fast UAV Autonomous Exploration in Large 3-D Environments,TIE,PASS,4,UAV,UAV,UAV_AUTONOMY; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; ROBOTICS,3,KEEP,"Retained for primary role UAV, with domain coverage UAV_AUTONOMY, NAVIGATION_PLANNING, TRAJECTORY_OPTIMIZATION, ROBOTICS and 3 detected evidence layers."
P071,10.1109/tmech.2026.3658866,Robot Learning System Based on Target Localization and Human Demonstration for Medical Examination,TMECH,PASS,4,PLANNING,PLANNING,NAVIGATION_PLANNING; ROBOTICS,4,KEEP,"Retained for primary role PLANNING, with domain coverage NAVIGATION_PLANNING, ROBOTICS and 4 detected evidence layers."
P029,10.1109/tcst.2026.3661166,Mixed-Integer MPC-Based Motion Planning Using Hybrid Zonotopes With Tight Relaxations,TCST,PASS,4,STRUCTURE,STRUCTURE,RL_MARL; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,4,KEEP,"Retained for primary role STRUCTURE, with domain coverage RL_MARL, NAVIGATION_PLANNING, TRAJECTORY_OPTIMIZATION, CONTROL, ROBOTICS and 4 detected evidence layers."
P084,10.1109/tro.2026.3651669,DexRepNet++: Learning Dexterous Robotic Manipulation With Geometric and Spatial Hand-Object Representations,TRO,PASS,4,STRUCTURE,METHODOLOGY,RL_MARL; NAVIGATION_PLANNING; ROBOTICS,12,KEEP,"Retained for primary role METHODOLOGY, with domain coverage RL_MARL, NAVIGATION_PLANNING, ROBOTICS and 12 detected evidence layers."
P086,10.1109/tro.2023.3275875,A Secure Robot Learning Framework for Cyber Attack Scheduling and Countermeasure,TRO,PASS,4,STRUCTURE,PROBLEM_FORMULATION,RL_MARL; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,2,KEEP,"Retained for primary role PROBLEM_FORMULATION, with domain coverage RL_MARL, NAVIGATION_PLANNING, TRAJECTORY_OPTIMIZATION, CONTROL, ROBOTICS and 2 detected evidence layers."
P057,10.1109/tim.2025.3584117,LiDAR-Based Autonomous Exploration Method of Mobile Robot Using Deep Reinforcement Learning in Unknown Environments,TIM,PASS,4,STRUCTURE,EXPERIMENT_ARCHITECTURE,RL_MARL; NAVIGATION_PLANNING; ROBOTICS,5,KEEP,"Retained for primary role EXPERIMENT_ARCHITECTURE, with domain coverage RL_MARL, NAVIGATION_PLANNING, ROBOTICS and 5 detected evidence layers."
P067,10.1109/tiv.2024.3373512,Enhancing System-Level Safety in Mixed-Autonomy Platoon via Safe Reinforcement Learning,TIV,PASS,2,STRUCTURE,CONTROL,RL_MARL; CONTROL,2,KEEP,"Retained for primary role CONTROL, with domain coverage RL_MARL, CONTROL and 2 detected evidence layers."
