Exemplar_ID,Paper_ID,DOI,Title,Journal,Year,Primary_Role,Secondary_Roles,Primary_Domain,Secondary_Domains,Paper_Type,Theory_Level,Experiment_Level,Physical_Validation,Figure_Strength_1_5,Table_Strength_1_5,Introduction_Strength_1_5,Method_Strength_1_5,Experiment_Strength_1_5,Results_Writing_Strength_1_5,Overall_Teaching_Value_1_5,Relevant_Rule_IDs,Card_Path,Original_PDF_Path
EX_001,P082,10.1109/tro.2025.3530348,GCBF+: A Neural Graph Control Barrier Function Framework for Distributed Safe Multiagent Control,TRO,2025,INTRODUCTION,EXPERIMENT_ARCHITECTURE; FIGURE; PROBLEM_FORMULATION; RESULT_NARRATIVE; STRUCTURE; TABLE; THEORY,UAV_AUTONOMY,RL_MARL; MULTI_AGENT_DECISION; NAVIGATION_PLANNING; CONTROL; ROBOTICS,UAV autonomy paper,MEDIUM,HIGH,YES,4,2,5,4,5,4,4.0,GEN-ARCH-001; GEN-EVD-001; GEN-EVD-002; GEN-EVD-005; GEN-EVD-006; GEN-VIS-001; JRN-TRO-001,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_001.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TRO\Zhang_2025_TRO_GCBF-A-Neural-Graph-Control-Barrier-Function-Framework-for-Distributed.pdf
EX_002,P045,10.1109/tie.2024.3363761,Semantic-Driven Autonomous Visual Navigation for Unmanned Aerial Vehicles,TIE,2024,FIGURE_ARCHITECTURE,PLANNING; REAL_WORLD; RL_MARL; UAV,UAV_AUTONOMY,RL_MARL; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; ROBOTICS,UAV autonomy paper,BASIC,MEDIUM,YES,2,1,3,3,3,2,2.33,GEN-EVD-001; GEN-EVD-006; GEN-VIS-001; JRN-TIE-001; DOM-RLMA-ABL-002; DOM-ROBO-ROB; DOM-ROBO-REAL,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_002.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIE\Yue_2024_TIE_Semantic-Driven-Autonomous-Visual-Navigation-for-Unmanned-Aerial-Vehic.pdf
EX_003,P027,10.1109/tcst.2025.3533378,Robust Predictive Motion Planning by Learning Obstacle Uncertainty,TCST,2025,PROBLEM_FORMULATION,CONTROL; FIGURE; REAL_WORLD; RESULT_NARRATIVE; STRUCTURE; TABLE; THEORY,RL_MARL,NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,RL / MARL method paper,MEDIUM,HIGH,YES,4,3,3,5,4,4,3.83,GEN-ARCH-001; GEN-EVD-001; GEN-EVD-002; GEN-VIS-001; JRN-TCST-001; DOM-RLMA-ABL-002; DOM-ROBO-ROB,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_003.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCST\Zhou_2025_TCST_Robust-Predictive-Motion-Planning-by-Learning-Obstacle-Uncertainty.pdf
EX_004,P092,10.1109/tsmc.2026.3720408,Socially Aware Robot Crowd Navigation via Online Uncertainty-Driven Risk Adaptation,TSMCS,2026,METHODOLOGY,CONTROL; EXPERIMENT_ARCHITECTURE; FIGURE; REAL_WORLD; RESULT_NARRATIVE; STRUCTURE; TABLE,RL_MARL,NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,RL / MARL method paper,BASIC,HIGH,YES,3,3,3,5,4,4,3.67,GEN-EVD-001; GEN-EVD-002; GEN-EVD-005; GEN-EVD-006; GEN-VIS-001; JRN-TSMCS-001; DOM-RLMA-ABL-002,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_004.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TSMCS\Sun_2026_TSMCS_Socially-Aware-Robot-Crowd-Navigation-via-Online-Uncertainty-Driven-Ri.pdf
EX_005,P046,10.1109/tie.2025.3536628,Model Predictive Optimization and Terminal Sliding Mode Motion Control for Mobile Robot With Obstacle Avoidance,TIE,2025,THEORY,CONTROL; EXPERIMENT_ARCHITECTURE; FIGURE; PLANNING; REAL_WORLD; RESULT_NARRATIVE,NAVIGATION_PLANNING,TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,Navigation / planning paper,MEDIUM,MEDIUM,YES,4,1,3,4,4,4,3.33,GEN-EVD-001; GEN-EVD-005; GEN-VIS-001; JRN-TIE-001; DOM-ROBO-ROB; DOM-ROBO-REAL; DOM-ROBO-RUN,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_005.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIE\Li_2025_TIE_Model-Predictive-Optimization-and-Terminal-Sliding-Mode-Motion-Control.pdf
EX_006,P083,10.1109/tro.2021.3137751,"Kimera-Multi: Robust, Distributed, Dense Metric-Semantic SLAM for Multi-Robot Systems",TRO,2022,EXPERIMENT_ARCHITECTURE,FIGURE; INTRODUCTION; MULTI_AGENT; RESULT_NARRATIVE; RL_MARL; STRUCTURE; TABLE,RL_MARL,MULTI_AGENT_DECISION; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; ROBOTICS,RL / MARL method paper,BASIC,HIGH,NO_EXPLICIT_EVIDENCE_DETECTED,4,3,5,4,3,4,3.83,GEN-EVD-001; GEN-EVD-002; DOM-RLMA-ABL-002; GEN-EVD-004; GEN-VIS-001; JRN-TRO-001; DOM-ROBO-ROB,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_006.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TRO\Tian_2022_TRO_Kimera-Multi-Robust-Distributed-Dense-Metric-Semantic-SLAM-for-Multi-R.pdf
EX_007,P077,10.1109/tnnls.2021.3056046,Certifiable Robustness to Adversarial State Uncertainty in Deep Reinforcement Learning,TNNLS,2021,ROBUSTNESS_DESIGN,CONTROL; INTRODUCTION; PLANNING; RL_MARL,RL_MARL,NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,Autonomous vehicle paper,BASIC,MEDIUM,NO_EXPLICIT_EVIDENCE_DETECTED,3,1,5,4,2,3,3.0,GEN-EVD-001; GEN-EVD-004; GEN-VIS-001; JRN-TNNLS-001; DOM-RLMA-ABL-002; DOM-ROBO-ROB; DOM-ROBO-REAL,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_007.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TNNLS\Everett_2021_TNNLS_Certifiable-Robustness-to-Adversarial-State-Uncertainty-in-Deep-Reinfo.pdf
EX_008,P033,10.1109/tcyb.2023.3246985,Learning-Based Multi-UAV Flocking Control With Limited Visual Field and Instinctive Repulsion,TCYB,2023,TABLE_ARCHITECTURE,CONTROL; INTRODUCTION; MULTI_AGENT; RESULT_NARRATIVE; RL_MARL; UAV,UAV_AUTONOMY,RL_MARL; MULTI_AGENT_DECISION; CONTROL,UAV autonomy paper,BASIC,MEDIUM,NO_EXPLICIT_EVIDENCE_DETECTED,2,3,5,4,3,3,3.33,GEN-EVD-001; GEN-VIS-001; JRN-TCYB-001; DOM-RLMA-ABL-002; DOM-UAV_-ROB; DOM-UAV_-REAL; DOM-UAV_-RUN,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_008.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TCYB\Bai_2023_TCYB_Learning-Based-Multi-UAV-Flocking-Control-With-Limited-Visual-Field-an.pdf
EX_009,P016,10.1109/tase.2025.3558945,Dynamic Charging and Path Planning for UAV-Powered Rechargeable WSNs Using Multi-Agent Deep Reinforcement Learning,TASE,2025,RESULT_NARRATIVE,INTRODUCTION; MULTI_AGENT; PROBLEM_FORMULATION; RL_MARL; STRUCTURE; TABLE; UAV,UAV_AUTONOMY,RL_MARL; MULTI_AGENT_DECISION; NAVIGATION_PLANNING; ROBOTICS,UAV autonomy paper,BASIC,MEDIUM,NO_EXPLICIT_EVIDENCE_DETECTED,2,3,5,4,2,5,3.5,GEN-ARCH-001; GEN-EVD-001; GEN-EVD-002; GEN-VIS-001; JRN-TASE-001; DOM-RLMA-ABL-002; DOM-ROBO-ROB,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_009.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TASE\Betalo_2025_TASE_Dynamic-Charging-and-Path-Planning-for-UAV-Powered-Rechargeable-WSNs-U.pdf
EX_010,P047,10.1109/tie.2023.3306405,Real-Time Dynamic Obstacle Avoidance for Robot Manipulators Based on Cascaded Nonlinear MPC With Artificial Potential Field,TIE,2023,REAL_WORLD_VALIDATION,CONTROL; FIGURE; INTRODUCTION; PLANNING; RESULT_NARRATIVE; STRUCTURE,NAVIGATION_PLANNING,TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,Navigation / planning paper,BASIC,MEDIUM,YES,3,1,5,4,3,3,3.17,GEN-EVD-001; GEN-EVD-002; GEN-EVD-006; GEN-VIS-001; JRN-TIE-001; DOM-ROBO-ROB; DOM-ROBO-REAL,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_010.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TIE\Zhu_2023_TIE_Real-Time-Dynamic-Obstacle-Avoidance-for-Robot-Manipulators-Based-on-C.pdf
EX_011,P017,10.1109/tase.2024.3432405,Constrained Reinforcement Learning Using Distributional Representation for Trustworthy Quadrotor UAV Tracking Control,TASE,2025,CONTROL,INTRODUCTION; PROBLEM_FORMULATION; REAL_WORLD; RESULT_NARRATIVE; STRUCTURE; TABLE; THEORY,UAV_AUTONOMY,RL_MARL; CONTROL,UAV autonomy paper,HIGH,HIGH,YES,2,3,5,5,5,3,3.83,GEN-ARCH-001; GEN-EVD-001; GEN-VIS-001; JRN-TASE-001; DOM-RLMA-ABL-002; DOM-UAV_-ROB; DOM-UAV_-REAL,D:\ieee my skills\IEEE_TRANS_EXEMPLARS\01_CARDS\EX_011.md,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TASE\Wang_2025_TASE_Constrained-Reinforcement-Learning-Using-Distributional-Representation.pdf
