Paper_ID,DOI,Role,Journal,Figure_count,Figure_panels_estimated,Figure_types_detected,First_figure_caption_excerpt,Table_count,Table_types_detected,First_table_caption_excerpt,Source_PDF,Status
P001,10.1109/tac.2021.3097706,A,TAC,2,7,ROBUSTNESS; TRAJECTORY, Depiction of the conditional value at risk at level α =,1,MAIN_COMPARISON, Comparison of mean solve times and tracking error,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Coulson_2021_TAC_Distributionally-Robust-Chance-Constrained-Data-Enabled-Predictive-Con.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P002,10.1109/tac.2022.3144107,A,TAC,6,6,TRAJECTORY, Command ﬁlter used for implementation. The dirty derivative,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Restrepo_2022_TAC_Robust-Consensus-of-High-Order-Systems-Under-Output-Constraints-Applic.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P003,10.1109/tac.2026.3653296,A,TAC,7,9,QUANTITATIVE_RESULT, Venn diagram of labels at two consecutive steps k−1 and k.,2,UNKNOWN,"reports the minimum, maximum, mean and standard",D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Deplano_2026_TAC_Optimization-and-Learning-in-Open-Multiagent-Systems.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P004,10.1109/tac.2023.3317728,A,TAC,4,5,UNKNOWN,reports the evolution of the MAS dynamics in,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Oliva_2023_TAC_A-Sum-of-States-Preservation-Framework-for-Open-Multiagent-Systems-Wit.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P005,10.1109/tac.2024.3386024,A,TAC,5,11,SCENARIO, Environment and the corresponding RMPN’s quotient. (a) En-,1,UNKNOWN,contains a result analysis of the current approach of Algo-,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Hustiu_2024_TAC_On-Multirobot-Path-Planning-Based-on-Petri-Net-Models-and-LTL-Specific.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P006,10.1109/taes.2024.3401668,A,TAES,7,9,QUANTITATIVE_RESULT; SENSITIVITY, QUA V conﬁguration.,0,UNKNOWN,,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAES\Wen_2024_TAES_Optimized-Fuzzy-Attitude-Control-of-Quadrotor-Unmanned-Aerial-Vehicle-.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P007,10.1109/taes.2025.3569615,A,TAES,9,21,QUANTITATIVE_RESULT; SENSITIVITY; TRAJECTORY," Illustrating SA3C methodology, featuring state “s,” next-state “s ′,” action “a,” reward “r,” done parameter “d,” target-critic “T.Critic,” FC for",7,COMPLEXITY; PARAMETERS,Dynamic Model Parameters,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAES\Zaidi_2025_TAES_Single-Agent-Attention-Actor-Critic-A-Deep-Reinforcement-Learning-Base.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P008,10.1109/taes.2025.3624705,A,TAES,10,16,NETWORK_ARCHITECTURE; QUANTITATIVE_RESULT, ECI Oℐ− ˆX ˆY ˆZ frame and L VLHOℒ − ˆxˆyˆz.,4,COMPLEXITY; MAIN_COMPARISON; PARAMETERS,Summary of Theorem 1 Under Different Maneuver Scenarios,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAES\Ren_2026_TAES_Learning-Based-Model-Predictive-Control-for-Cooperative-Spacecraft-Swa.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P009,10.1109/taes.2024.3485601,A,TAES,21,29,UNKNOWN, L VLH coordinates.,2,COMPLEXITY; PARAMETERS,Control Parameters,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAES\Sun_2025_TAES_Distributed-Event-Triggered-Model-Predictive-Control-for-Spacecraft-Sw.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
P010,10.1109/taes.2025.3550128,A,TAES,9,30,PROBLEM; QUANTITATIVE_RESULT; SCENARIO; TRAJECTORY, Schematic diagram of UA V cooperative path planning.,1,MAIN_COMPARISON,Performance Indicators of Different Algorithms,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAES\Zhang_2025_TAES_Real-Time-Path-Planning-for-Autonomous-UAVs-An-Event-Triggered-Multimo.pdf,"AUTOMATED_CAPTION_CLASSIFICATION; excerpts retained only for audit, not templates"
