Exemplar_ID,Rule_ID,Relationship,Evidence_Strength,Notes
EX_001,GEN-ARCH-001,SUPPORTS,OPTIONAL,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; REAL_WORLD.
EX_001,GEN-EVD-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; REAL_WORLD.
EX_001,GEN-EVD-002,SUPPORTS,MEDIUM,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; REAL_WORLD.
EX_001,GEN-EVD-005,SUPPORTS,OPTIONAL,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; REAL_WORLD.
EX_001,GEN-EVD-006,SUPPORTS,MEDIUM,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; REAL_WORLD.
EX_001,GEN-VIS-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; REAL_WORLD.
EX_001,JRN-TRO-001,JOURNAL_SPECIFIC_EXAMPLE,MEDIUM,Linked through JOURNAL:TRO; paper evidence=MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; REAL_WORLD.
EX_002,GEN-EVD-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; GENERALIZATION; REAL_WORLD.
EX_002,GEN-EVD-006,SUPPORTS,MEDIUM,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; GENERALIZATION; REAL_WORLD.
EX_002,GEN-VIS-001,SUPPORTS,HIGH,Linked through GENERAL_TRANSACTIONS; paper evidence=MAIN_COMPARISON; GENERALIZATION; REAL_WORLD.
