paper	title	learning_type	tags	paper_story
R01	Fast-Tracker: A Robust Aerial System for Tracking Agile Target in Cluttered Environments	NOT_RL	tracking 追踪 occlusion 遮挡 prediction 预测	先用场景和系统闭环定位问题，再拆解预测、搜索和重规划，最后用实飞及追踪响应支撑鲁棒性。
R02	Distributed Swarm Trajectory Optimization for Formation Flight in Dense Environments	NOT_RL	formation 编队 swarm 集群 distributed 分布式	用空间编队约束解释优化，再以密集场景、多机轨迹和队形误差说明保持形状与避障的平衡；与 R04 属相关研究线，不能当独立重复证据。
R03	Bubble Planner: Planning High-speed Smooth Quadrotor Trajectories using Receding Corridors	NOT_RL	corridor 走廊 planning 规划 geometry 几何	气泡/走廊几何是方法核心，局部剖面和连续规划过程比笼统框图更能说明可行域与高速平滑运动。
R04	Robust and Efficient Trajectory Planning for Formation Flight in Dense Environments	NOT_RL	formation 编队 swarm 集群 real-flight 实飞	几何和优化机制逐层展开，最后将真实飞行、地图轨迹、队形变化和误差合成事件对应的证据；与 R02 有复用内容。
R05	Catch Planner: Catching High-Speed Targets in the Flight	RL_HIGH_LEVEL	catching 捕获 PPO reinforcement 强化学习 high-level 高层策略	策略选择捕获时间，优化器产生可飞轨迹；网兜尺寸、动态约束和真实捕获过程共同解释任务可行性，不能把策略动作画成电机指令。
R06	Intention-Aware Planner for Robust and Safe Aerial Tracking	NOT_RL	intention 意图 tracking 追踪 visibility 可见性 prediction 预测	先估计运动意图、再预测目标、最后联合可见性和安全优化；局部几何图解释每项代价怎样改变跟踪行为。
R07	ColAG: A Collaborative Air-Ground Framework for Perception-Limited UGVs’ Navigation	NOT_RL	air-ground 空地 collaboration 协作 UGV navigation 导航	无人机补足地面车感知，信息交换和路径协作连接到地面导航收益；本 PDF 未定位到 Fig.2，不补造。
R08	Simultaneous Time Synchronization and Mutual Localization for Multi-robot System	NOT_RL	synchronization 同步 localization 定位 multi-robot 多机器人	测量与时钟关系先画清，再用定位轨迹和同步误差分别验证两个耦合目标。
R09	Collaborative Planning for Catching and Transporting Objects in Unstructured Environments	NOT_RL	catching 捕获 transport 运输 collaboration 协作	多机捕获到运输的任务链，需要几何/受力、协同规划和任务过程配套；附录重新编号的三图单列 S1–S3。
R10	Edge Accelerated Robot Navigation With Collaborative Motion Planning	NOT_RL	edge 边缘计算 collaboration 协同 navigation 导航 latency 时延	端边信息流与网络/计算开销并列，导航轨迹和时间指标说明卸载是否值得；正文 Fig.14 引用未对应到原图。
R11	Adaptive Tracking and Perching for Quadrotor in Dynamic Scenarios	NOT_RL	perching 栖停 tracking 跟踪 dynamic 动态	跟踪和栖停共享可见性、安全与动力约束，但终端条件不同；通过成对机制图和分阶段实验讲清适应性。
