Paper_ID,DOI,Title,Journal,Year,Corpus_role,Layer,Primary_research_type,Secondary_research_types,Local_PDF_path,Extraction_status,Extracted_characters
P001,10.1109/tac.2021.3097706,Distributionally Robust Chance Constrained Data-Enabled Predictive Control,TAC,2021,A,CORE,UAV autonomy paper,Navigation / planning paper; Control theory paper; Engineering control paper; Robotics system paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Coulson_2021_TAC_Distributionally-Robust-Chance-Constrained-Data-Enabled-Predictive-Con.pdf,COMPLETE,81725
P002,10.1109/tac.2022.3144107,Robust Consensus of High-Order Systems Under Output Constraints: Application to Rendezvous of Underactuated UAVs,TAC,2022,A,CORE,UAV autonomy paper,Multi-agent decision paper; Navigation / planning paper; Control theory paper; Engineering control paper; Robotics system paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Restrepo_2022_TAC_Robust-Consensus-of-High-Order-Systems-Under-Output-Constraints-Applic.pdf,COMPLETE,76743
P003,10.1109/tac.2026.3653296,Optimization and Learning in Open Multiagent Systems,TAC,2026,A,CORE,RL / MARL method paper,Multi-agent decision paper; Control theory paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Deplano_2026_TAC_Optimization-and-Learning-in-Open-Multiagent-Systems.pdf,COMPLETE,86402
P004,10.1109/tac.2023.3317728,A Sum-of-States Preservation Framework for Open Multiagent Systems With Nonlinear Heterogeneous Coupling,TAC,2023,A,CORE,RL / MARL method paper,Multi-agent decision paper; Control theory paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Oliva_2023_TAC_A-Sum-of-States-Preservation-Framework-for-Open-Multiagent-Systems-Wit.pdf,COMPLETE,41771
P005,10.1109/tac.2024.3386024,On Multirobot Path Planning Based on Petri Net Models and LTL Specifications,TAC,2024,A,CORE,RL / MARL method paper,Multi-agent decision paper; Navigation / planning paper; Trajectory optimization paper; Robotics system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Hustiu_2024_TAC_On-Multirobot-Path-Planning-Based-on-Petri-Net-Models-and-LTL-Specific.pdf,COMPLETE,41470
P006,10.1109/taes.2024.3401668,Optimized Fuzzy Attitude Control of Quadrotor Unmanned Aerial Vehicle Using Adaptive Reinforcement Learning Strategy,TAES,2024,A,CORE,UAV autonomy paper,RL / MARL method paper; Engineering control paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAES\Wen_2024_TAES_Optimized-Fuzzy-Attitude-Control-of-Quadrotor-Unmanned-Aerial-Vehicle-.pdf,COMPLETE,43965
P007,10.1109/taes.2025.3569615,Single-Agent Attention Actor–Critic: A Deep Reinforcement Learning-Based Solution for Low-Thrust Spacecraft Trajectory Optimization,TAES,2025,A,CORE,RL / MARL method paper,Trajectory optimization paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAES\Zaidi_2025_TAES_Single-Agent-Attention-Actor-Critic-A-Deep-Reinforcement-Learning-Base.pdf,COMPLETE,78662
P008,10.1109/taes.2025.3624705,Learning-Based Model Predictive Control for Cooperative Spacecraft Swarm Reconfiguration,TAES,2026,A,CORE,UAV autonomy paper,RL / MARL method paper; Multi-agent decision paper; Trajectory optimization paper; Learning-based control paper; Engineering control paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAES\Ren_2026_TAES_Learning-Based-Model-Predictive-Control-for-Cooperative-Spacecraft-Swa.pdf,COMPLETE,83412
P009,10.1109/taes.2024.3485601,Distributed Event-Triggered Model Predictive Control for Spacecraft Swarm,TAES,2025,A,CORE,UAV autonomy paper,Multi-agent decision paper; Trajectory optimization paper; Engineering control paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAES\Sun_2025_TAES_Distributed-Event-Triggered-Model-Predictive-Control-for-Spacecraft-Sw.pdf,COMPLETE,80527
P010,10.1109/taes.2025.3550128,Real-Time Path Planning for Autonomous UAVs: An Event-Triggered Multimodal Adaptive Pigeon-Inspired Optimization Approach,TAES,2025,A,CORE,UAV autonomy paper,Navigation / planning paper; Robotics system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAES\Zhang_2025_TAES_Real-Time-Path-Planning-for-Autonomous-UAVs-An-Event-Triggered-Multimo.pdf,COMPLETE,43754
P011,10.1109/taes.2025.3633213,A Deep-Reinforcement-Learning-Based UAV Trajectory Planning Method for Generalizable Radar Phantom Track Generation,TAES,2026,A,CORE,UAV autonomy paper,RL / MARL method paper; Navigation / planning paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAES\Liu_2026_TAES_A-Deep-Reinforcement-Learning-Based-UAV-Trajectory-Planning-Method-for.pdf,COMPLETE,72440
P012,10.1109/tai.2023.3237665,Robotic Control in Adversarial and Sparse Reward Environments: A Robust Goal-Conditioned Reinforcement Learning Approach,TAI,2024,A,EXTENDED,RL / MARL method paper,Navigation / planning paper; Robotics system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAI\He_2024_TAI_Robotic-Control-in-Adversarial-and-Sparse-Reward-Environments-A-Robust.pdf,COMPLETE,46167
P013,10.1109/tai.2024.3351797,Learn From Safe Experience: Safe Reinforcement Learning for Task Automation of Surgical Robot,TAI,2024,A,EXTENDED,RL / MARL method paper,Navigation / planning paper; Robotics system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAI\Fan_2024_TAI_Learn-From-Safe-Experience-Safe-Reinforcement-Learning-for-Task-Automa.pdf,COMPLETE,51390
P014,10.1109/tai.2025.3607722,Multirate Distributed Receding Horizon Reinforcement Learning for Optimal UAV–UGV Formation Control,TAI,2026,A,EXTENDED,UAV autonomy paper,RL / MARL method paper; Multi-agent decision paper; Engineering control paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAI\Zhang_2026_TAI_Multirate-Distributed-Receding-Horizon-Reinforcement-Learning-for-Opti.pdf,COMPLETE,77615
P015,10.1109/tai.2025.3607790,Distributed Reinforcement Learning Optimal Cluster Consensus Control for Takagi–Sugeno Fuzzy Multiagent Systems,TAI,2026,A,EXTENDED,RL / MARL method paper,Multi-agent decision paper; Control theory paper; Hybrid method-system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAI\Li_2026_TAI_Distributed-Reinforcement-Learning-Optimal-Cluster-Consensus-Control-f.pdf,COMPLETE,46642
P016,10.1109/tase.2025.3558945,Dynamic Charging and Path Planning for UAV-Powered Rechargeable WSNs Using Multi-Agent Deep Reinforcement Learning,TASE,2025,A,CORE,UAV autonomy paper,RL / MARL method paper; Multi-agent decision paper; Navigation / planning paper; Robotics system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TASE\Betalo_2025_TASE_Dynamic-Charging-and-Path-Planning-for-UAV-Powered-Rechargeable-WSNs-U.pdf,COMPLETE,94729
P017,10.1109/tase.2024.3432405,Constrained Reinforcement Learning Using Distributional Representation for Trustworthy Quadrotor UAV Tracking Control,TASE,2025,A,CORE,UAV autonomy paper,RL / MARL method paper; Engineering control paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TASE\Wang_2025_TASE_Constrained-Reinforcement-Learning-Using-Distributional-Representation.pdf,COMPLETE,91600
P018,10.1109/tase.2025.3574280,Multi-Agent Reinforcement Learning for Connected and Automated Vehicles Control: Recent Advancements and Future Prospects,TASE,2025,A,CORE,Autonomous vehicle paper,RL / MARL method paper; Multi-agent decision paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TASE\Hua_2025_TASE_Multi-Agent-Reinforcement-Learning-for-Connected-and-Automated-Vehicle.pdf,COMPLETE,123056
P019,10.1109/tase.2026.3653413,"A Dynamic Path Planning and Tracking Control of Autonomous Vehicles: An Integrated Approach Using Improved A                     *                     , Fuzzy DWA, and Fuzzy PID",TASE,2026,A,CORE,Autonomous vehicle paper,Navigation / planning paper; Engineering control paper; Robotics system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TASE\Chen_2026_TASE_A-Dynamic-Path-Planning-and-Tracking-Control-of-Autonomous-Vehicles-An.pdf,COMPLETE,73188
P020,10.1109/tase.2026.3689345,Agents Trainer: Automatically Training Multi-Agent Reinforcement Learning Models for Drone Swarm Using Language Model-Based Agents,TASE,2026,A,CORE,UAV autonomy paper,RL / MARL method paper; Multi-agent decision paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TASE\Lou_2026_TASE_Agents-Trainer-Automatically-Training-Multi-Agent-Reinforcement-Learni.pdf,COMPLETE,71227
P021,10.1109/tase.2025.3601665,PG-ITD3: A Potential Field-Guided Deep Reinforcement Learning Approach for UAV Path Planning After Disaster,TASE,2025,A,CORE,UAV autonomy paper,RL / MARL method paper; Navigation / planning paper; Robotics system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TASE\Ren_2025_TASE_PG-ITD3-A-Potential-Field-Guided-Deep-Reinforcement-Learning-Approach-.pdf,COMPLETE,66659
P022,10.1109/tase.2024.3424677,Decision Making for Multi-Robot Fixture Planning Using Multi-Agent Reinforcement Learning,TASE,2025,A,CORE,RL / MARL method paper,Multi-agent decision paper; Navigation / planning paper; Robotics system paper,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TASE\Canzini_2025_TASE_Decision-Making-for-Multi-Robot-Fixture-Planning-Using-Multi-Agent-Rei.pdf,COMPLETE,64966
