Exemplar_ID,Domain_Tokens,Journal,Paper_Type,Method_Tokens,Role_Tokens,Evidence_Needs,Rule_IDs,Domain_Weight,Role_Weight,Paper_Type_Weight,Journal_Weight,Evidence_Need_Weight,Rule_Weight,Default_Return,Maximum_Return
EX_001,UAV_AUTONOMY; RL_MARL; MULTI_AGENT_DECISION; NAVIGATION_PLANNING; CONTROL; ROBOTICS,TRO,UAV autonomy paper,reinforcement learning; neural network; CONTROL; RL; MULTI_AGENT; UAV; ROBOTICS; REAL_WORLD,INTRODUCTION; EXPERIMENT_ARCHITECTURE; FIGURE; PROBLEM_FORMULATION; RESULT_NARRATIVE; STRUCTURE; TABLE; THEORY,MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; REAL_WORLD,GEN-ARCH-001; GEN-EVD-001; GEN-EVD-002; GEN-EVD-005; GEN-EVD-006; GEN-VIS-001; JRN-TRO-001,30,25,15,15,10,5,3,5
EX_002,UAV_AUTONOMY; RL_MARL; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; ROBOTICS,TIE,UAV autonomy paper,reinforcement learning; RL; UAV; ROBOTICS; PLANNING; OPTIMIZATION; GENERALIZATION; REAL_WORLD,FIGURE_ARCHITECTURE; PLANNING; REAL_WORLD; RL_MARL; UAV,MAIN_COMPARISON; GENERALIZATION; REAL_WORLD,GEN-EVD-001; GEN-EVD-006; GEN-VIS-001; JRN-TIE-001; DOM-RLMA-ABL-002; DOM-ROBO-ROB; DOM-ROBO-REAL,30,25,15,15,10,5,3,5
EX_003,RL_MARL; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,TCST,RL / MARL method paper,robust; CONTROL; ROBOTICS; PLANNING; TRAJECTORY; ROBUSTNESS; REAL_WORLD,PROBLEM_FORMULATION; CONTROL; FIGURE; REAL_WORLD; RESULT_NARRATIVE; STRUCTURE; TABLE; THEORY,MAIN_COMPARISON; RUNTIME; REAL_WORLD; CROSS_SCENARIO; QUALITATIVE_VISUALIZATION,GEN-ARCH-001; GEN-EVD-001; GEN-EVD-002; GEN-VIS-001; JRN-TCST-001; DOM-RLMA-ABL-002; DOM-ROBO-ROB,30,25,15,15,10,5,3,5
EX_004,RL_MARL; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,TSMCS,RL / MARL method paper,data-driven; neural network; robust; CONTROL; ROBOTICS; ROBUSTNESS; REAL_WORLD,METHODOLOGY; CONTROL; EXPERIMENT_ARCHITECTURE; FIGURE; REAL_WORLD; RESULT_NARRATIVE; STRUCTURE; TABLE,MAIN_COMPARISON; GENERALIZATION; RUNTIME; REAL_WORLD; QUALITATIVE_VISUALIZATION,GEN-EVD-001; GEN-EVD-002; GEN-EVD-005; GEN-EVD-006; GEN-VIS-001; JRN-TSMCS-001; DOM-RLMA-ABL-002,30,25,15,15,10,5,3,5
EX_005,NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,TIE,Navigation / planning paper,optimization; generalization; CONTROL; ROBOTICS; PLANNING; TRAJECTORY; OPTIMIZATION; GENERALIZATION; REAL_WORLD; THEORY,THEORY; CONTROL; EXPERIMENT_ARCHITECTURE; FIGURE; PLANNING; REAL_WORLD; RESULT_NARRATIVE,MAIN_COMPARISON; GENERALIZATION; RUNTIME; REAL_WORLD,GEN-EVD-001; GEN-EVD-005; GEN-VIS-001; JRN-TIE-001; DOM-ROBO-ROB; DOM-ROBO-REAL; DOM-ROBO-RUN,30,25,15,15,10,5,3,5
EX_006,RL_MARL; MULTI_AGENT_DECISION; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; ROBOTICS,TRO,RL / MARL method paper,optimization; robust; MULTI_AGENT; ROBOTICS; TRAJECTORY; OPTIMIZATION; ROBUSTNESS; REAL_WORLD,EXPERIMENT_ARCHITECTURE; FIGURE; INTRODUCTION; MULTI_AGENT; RESULT_NARRATIVE; RL_MARL; STRUCTURE; TABLE,MAIN_COMPARISON; ABLATION; ROBUSTNESS; RUNTIME; FAILURE_CASE,GEN-EVD-001; GEN-EVD-002; DOM-RLMA-ABL-002; GEN-EVD-004; GEN-VIS-001; JRN-TRO-001; DOM-ROBO-ROB,30,25,15,15,10,5,3,5
EX_007,RL_MARL; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,TNNLS,Autonomous vehicle paper,reinforcement learning; deep reinforcement learning; neural network; robust; CONTROL; RL; ROBOTICS; OPTIMIZATION; ROBUSTNESS,ROBUSTNESS_DESIGN; CONTROL; INTRODUCTION; PLANNING; RL_MARL,MAIN_COMPARISON; ROBUSTNESS; RUNTIME,GEN-EVD-001; GEN-EVD-004; GEN-VIS-001; JRN-TNNLS-001; DOM-RLMA-ABL-002; DOM-ROBO-ROB; DOM-ROBO-REAL,30,25,15,15,10,5,3,5
EX_008,UAV_AUTONOMY; RL_MARL; MULTI_AGENT_DECISION; CONTROL,TCYB,UAV autonomy paper,reinforcement learning; deep reinforcement learning; learning-based; CONTROL; RL; MULTI_AGENT; UAV,TABLE_ARCHITECTURE; CONTROL; INTRODUCTION; MULTI_AGENT; RESULT_NARRATIVE; RL_MARL; UAV,MAIN_COMPARISON; ROBUSTNESS; GENERALIZATION; CROSS_SCENARIO,GEN-EVD-001; GEN-VIS-001; JRN-TCYB-001; DOM-RLMA-ABL-002; DOM-UAV_-ROB; DOM-UAV_-REAL; DOM-UAV_-RUN,30,25,15,15,10,5,3,5
EX_009,UAV_AUTONOMY; RL_MARL; MULTI_AGENT_DECISION; NAVIGATION_PLANNING; ROBOTICS,TASE,UAV autonomy paper,reinforcement learning; deep reinforcement learning; RL; MULTI_AGENT; UAV; PLANNING,RESULT_NARRATIVE; INTRODUCTION; MULTI_AGENT; PROBLEM_FORMULATION; RL_MARL; STRUCTURE; TABLE; UAV,MAIN_COMPARISON; SCALABILITY; RUNTIME,GEN-ARCH-001; GEN-EVD-001; GEN-EVD-002; GEN-VIS-001; JRN-TASE-001; DOM-RLMA-ABL-002; DOM-ROBO-ROB,30,25,15,15,10,5,3,5
EX_010,NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,TIE,Navigation / planning paper,optimization; CONTROL; ROBOTICS; PLANNING; TRAJECTORY; OPTIMIZATION; REAL_WORLD,REAL_WORLD_VALIDATION; CONTROL; FIGURE; INTRODUCTION; PLANNING; RESULT_NARRATIVE; STRUCTURE,MAIN_COMPARISON; RUNTIME; REAL_WORLD,GEN-EVD-001; GEN-EVD-002; GEN-EVD-006; GEN-VIS-001; JRN-TIE-001; DOM-ROBO-ROB; DOM-ROBO-REAL,30,25,15,15,10,5,3,5
EX_011,UAV_AUTONOMY; RL_MARL; CONTROL,TASE,UAV autonomy paper,reinforcement learning; CONTROL; RL; UAV,CONTROL; INTRODUCTION; PROBLEM_FORMULATION; REAL_WORLD; RESULT_NARRATIVE; STRUCTURE; TABLE; THEORY,MAIN_COMPARISON; GENERALIZATION; SCALABILITY; COMPUTATIONAL_COMPLEXITY; REAL_WORLD; SIM_TO_REAL,GEN-ARCH-001; GEN-EVD-001; GEN-VIS-001; JRN-TASE-001; DOM-RLMA-ABL-002; DOM-UAV_-ROB; DOM-UAV_-REAL,30,25,15,15,10,5,3,5
EX_012,RL_MARL; CONTROL,TIV,Autonomous vehicle paper,reinforcement learning; deep reinforcement learning; robust; CONTROL; RL; ROBUSTNESS,RL_MARL; EXPERIMENT_ARCHITECTURE; INTRODUCTION; REAL_WORLD; TABLE,MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; COMPUTATIONAL_COMPLEXITY; REAL_WORLD,GEN-EVD-001; GEN-VIS-001; JRN-TIV-001; DOM-RLMA-ABL-002; DOM-RL_M-ROB; DOM-RL_M-REAL; DOM-RL_M-RUN,30,25,15,15,10,5,3,5
EX_013,RL_MARL; MULTI_AGENT_DECISION; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,TRO,RL / MARL method paper,reinforcement learning; optimization; game theoretic; CONTROL; RL; MULTI_AGENT; ROBOTICS; TRAJECTORY; OPTIMIZATION,MULTI_AGENT; PLANNING; RESULT_NARRATIVE; RL_MARL; STRUCTURE; TABLE; THEORY,MAIN_COMPARISON; GENERALIZATION; RUNTIME; CROSS_SCENARIO,GEN-EVD-001; GEN-VIS-001; JRN-TRO-001; DOM-RLMA-ABL-002; DOM-ROBO-ROB; DOM-ROBO-REAL; DOM-ROBO-RUN,30,25,15,15,10,5,3,5
EX_014,UAV_AUTONOMY; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; ROBOTICS,TIE,UAV autonomy paper,UAV; ROBOTICS; PLANNING; TRAJECTORY; REAL_WORLD,UAV; INTRODUCTION; PLANNING; REAL_WORLD; RESULT_NARRATIVE; STRUCTURE; TABLE; THEORY,MAIN_COMPARISON; RUNTIME; REAL_WORLD,GEN-EVD-001; GEN-EVD-002; GEN-EVD-006; GEN-VIS-001; JRN-TIE-001; DOM-ROBO-ROB; DOM-ROBO-REAL,30,25,15,15,10,5,3,5
EX_015,NAVIGATION_PLANNING; ROBOTICS,TMECH,Navigation / planning paper,robust; generalization; ROBOTICS; ROBUSTNESS; GENERALIZATION; REAL_WORLD; THEORY,PLANNING; FIGURE; REAL_WORLD; RESULT_NARRATIVE; STRUCTURE,MAIN_COMPARISON; GENERALIZATION; SCALABILITY; REAL_WORLD,GEN-EVD-005; GEN-VIS-001; JRN-TMECH-001; DOM-ROBO-ROB; DOM-ROBO-REAL; DOM-ROBO-RUN; DOM-NAVI-ROB,30,25,15,15,10,5,3,5
EX_016,RL_MARL; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,TCST,Autonomous vehicle paper,optimization; CONTROL; ROBOTICS; PLANNING; OPTIMIZATION; REAL_WORLD,STRUCTURE; CONTROL; PLANNING; RESULT_NARRATIVE; RL_MARL; TABLE; THEORY,MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY,GEN-EVD-001; GEN-EVD-005; GEN-VIS-001; JRN-TCST-001; DOM-RLMA-ABL-002; DOM-ROBO-ROB; DOM-ROBO-REAL,30,25,15,15,10,5,3,5
EX_017,RL_MARL; NAVIGATION_PLANNING; ROBOTICS,TRO,RL / MARL method paper,reinforcement learning; deep reinforcement learning; generalization; sim-to-real; RL; ROBOTICS; GENERALIZATION; REAL_WORLD,METHODOLOGY; EXPERIMENT_ARCHITECTURE; FIGURE; INTRODUCTION; METHODOLOGY; REAL_WORLD; RESULT_NARRATIVE; TABLE,MAIN_COMPARISON; ABLATION; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; COMPUTATIONAL_COMPLEXITY; REAL_WORLD; SIM_TO_REAL; FAILURE_CASE; QUALITATIVE_VISUALIZATION; STATISTICAL_TEST,GEN-EVD-001; GEN-EVD-002; DOM-RLMA-ABL-002; GEN-EVD-005; GEN-EVD-006; GEN-VIS-001; JRN-TRO-001,30,25,15,15,10,5,3,5
EX_018,RL_MARL; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,TRO,RL / MARL method paper,reinforcement learning; deep reinforcement learning; learning-based; CONTROL; RL; ROBOTICS; OPTIMIZATION; REAL_WORLD; THEORY,PROBLEM_FORMULATION; CONTROL; FIGURE; PROBLEM_FORMULATION; REAL_WORLD; RESULT_NARRATIVE; TABLE; THEORY,GENERALIZATION; REAL_WORLD,GEN-ARCH-001; GEN-EVD-001; GEN-EVD-006; GEN-VIS-001; JRN-TRO-001; DOM-RLMA-ABL-002; DOM-ROBO-ROB,30,25,15,15,10,5,3,5
EX_019,RL_MARL; NAVIGATION_PLANNING; ROBOTICS,TIM,RL / MARL method paper,reinforcement learning; deep reinforcement learning; RL; ROBOTICS,EXPERIMENT_ARCHITECTURE; EXPERIMENT_ARCHITECTURE; FIGURE; METHODOLOGY; PROBLEM_FORMULATION; REAL_WORLD; RESULT_NARRATIVE; TABLE,MAIN_COMPARISON; GENERALIZATION; RUNTIME; REAL_WORLD; QUALITATIVE_VISUALIZATION,GEN-ARCH-001; GEN-EVD-001; GEN-EVD-002; GEN-EVD-006; GEN-VIS-001; DOM-RLMA-ABL-002; DOM-ROBO-ROB,30,25,15,15,10,5,3,5
EX_020,RL_MARL; CONTROL,TIV,Autonomous vehicle paper,reinforcement learning; deep reinforcement learning; safe reinforcement learning; learning-based; neural network; CONTROL; RL; THEORY,CONTROL; CONTROL; FIGURE; INTRODUCTION; RESULT_NARRATIVE; RL_MARL,MAIN_COMPARISON; GENERALIZATION,GEN-EVD-001; GEN-EVD-005; GEN-VIS-001; JRN-TIV-001; DOM-RLMA-ABL-002; DOM-RL_M-ROB; DOM-RL_M-REAL,30,25,15,15,10,5,3,5
EX_021,RL_MARL; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,TRO,RL / MARL method paper,reinforcement learning; optimization; CONTROL; RL; ROBOTICS; TRAJECTORY; OPTIMIZATION,COMPARATIVE_EXPERIMENT; FIGURE; PLANNING; RESULT_NARRATIVE; RL_MARL; TABLE,MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SIM_TO_REAL,GEN-EVD-001; GEN-VIS-001; JRN-TRO-001; DOM-RLMA-ABL-002; DOM-ROBO-ROB; DOM-ROBO-REAL; DOM-ROBO-RUN,30,25,15,15,10,5,3,5
EX_022,MULTI_AGENT_DECISION; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,TCST,Autonomous vehicle paper,optimization; CONTROL; MULTI_AGENT; ROBOTICS; PLANNING; TRAJECTORY; OPTIMIZATION; REAL_WORLD,TRAJECTORY_OPTIMIZATION; CONTROL; EXPERIMENT_ARCHITECTURE; FIGURE; MULTI_AGENT; REAL_WORLD; TABLE; THEORY,MAIN_COMPARISON; GENERALIZATION; RUNTIME; REAL_WORLD; CROSS_SCENARIO,GEN-EVD-001; GEN-VIS-001; JRN-TCST-001; DOM-ROBO-ROB; DOM-ROBO-REAL; DOM-ROBO-RUN; DOM-NAVI-ROB,30,25,15,15,10,5,3,5
EX_023,UAV_AUTONOMY; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,TCST,UAV autonomy paper,optimization; CONTROL; UAV; TRAJECTORY; OPTIMIZATION; REAL_WORLD,NAVIGATION_PLANNING; CONTROL; FIGURE; PLANNING; RESULT_NARRATIVE; THEORY; UAV,MAIN_COMPARISON; RUNTIME; COMPUTATIONAL_COMPLEXITY; QUALITATIVE_VISUALIZATION,GEN-EVD-001; GEN-VIS-001; JRN-TCST-001; DOM-ROBO-ROB; DOM-ROBO-REAL; DOM-ROBO-RUN; DOM-UAV_-ROB,30,25,15,15,10,5,3,5
EX_024,UAV_AUTONOMY; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,TAC,UAV autonomy paper,optimization; robust; CONTROL; UAV; ROBOTICS; OPTIMIZATION; ROBUSTNESS,THEORY; CONTROL; PLANNING; THEORY; UAV,MAIN_COMPARISON; PARAMETER_SENSITIVITY,GEN-EVD-001; GEN-VIS-001; JRN-TAC-001; DOM-ROBO-ROB; DOM-ROBO-REAL; DOM-ROBO-RUN; DOM-UAV_-ROB,30,25,15,15,10,5,3,5
EX_025,NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; ROBOTICS,TIV,Navigation / planning paper,optimization; ROBOTICS; PLANNING; TRAJECTORY; OPTIMIZATION,TRAJECTORY_OPTIMIZATION; PLANNING; PROBLEM_FORMULATION; REAL_WORLD; RESULT_NARRATIVE; TABLE,MAIN_COMPARISON; RUNTIME; REAL_WORLD,GEN-ARCH-001; GEN-EVD-001; GEN-EVD-002; GEN-EVD-006; GEN-VIS-001; JRN-TIV-001; DOM-ROBO-ROB,30,25,15,15,10,5,3,5
EX_026,UAV_AUTONOMY; RL_MARL; MULTI_AGENT_DECISION; NAVIGATION_PLANNING; TRAJECTORY_OPTIMIZATION; CONTROL; ROBOTICS,TRO,UAV autonomy paper,optimization; CONTROL; UAV; ROBOTICS; PLANNING; TRAJECTORY; OPTIMIZATION; REAL_WORLD,FIGURE_ARCHITECTURE; FIGURE; MULTI_AGENT; REAL_WORLD; RESULT_NARRATIVE; RL_MARL; TABLE; THEORY,MAIN_COMPARISON; RUNTIME; REAL_WORLD,GEN-EVD-001; GEN-EVD-002; GEN-VIS-001; JRN-TRO-001; DOM-RLMA-ABL-002; DOM-ROBO-ROB; DOM-ROBO-REAL,30,25,15,15,10,5,3,5
EX_027,UAV_AUTONOMY; RL_MARL; NAVIGATION_PLANNING; ROBOTICS,TVT,UAV autonomy paper,reinforcement learning; deep reinforcement learning; robust; RL; UAV; PLANNING; ROBUSTNESS,ROBUSTNESS_DESIGN; FIGURE; INTRODUCTION; PLANNING; RL_MARL; TABLE; UAV,MAIN_COMPARISON; GENERALIZATION,GEN-EVD-001; GEN-VIS-001; JRN-TVT-001; DOM-RLMA-ABL-002; DOM-ROBO-ROB; DOM-ROBO-REAL; DOM-ROBO-RUN,30,25,15,15,10,5,3,5
