Rule_ID,Rule_statement,Scope,Evidence_count,Eligible_sample_count,Evidence_ratio,Representative_papers,Counterexamples,Confidence,Applicability,Do_not_apply_when,Notes,B_level_validation
GEN-ARCH-001,"Use an explicit problem-formulation section only when definitions, assumptions, constraints, and objectives need a stable mathematical home.",GENERAL_TRANSACTIONS,26,92,0.283,10.1109/tac.2022.3144107; 10.1109/tac.2024.3386024; 10.1109/taes.2025.3624705; 10.1109/taes.2025.3633213,10.1109/tac.2021.3097706; 10.1109/tac.2026.3653296; 10.1109/tac.2023.3317728,OPTIONAL,"mathematical, control, optimization, game, or MDP formulations",the problem can be stated transparently inside the method without notation debt,"Derived from A-level paper anatomy; support spans 16 journals. Absence means not detected, not proven absent.",6/19
GEN-EVD-001,"Treat simulation as one evidence layer, not as a universal substitute for physical validation.",GENERAL_TRANSACTIONS,95,100,0.95,10.1109/tac.2021.3097706; 10.1109/tac.2022.3144107; 10.1109/tac.2026.3653296; 10.1109/tac.2023.3317728,10.1109/taes.2024.3401668; 10.1109/tie.2021.3070508; 10.1109/tmech.2026.3658866,HIGH,papers whose claims concern algorithmic or closed-loop behaviour,the claim is specifically real-world deployability,"Derived from A-level paper anatomy; support spans 19 journals. Absence means not detected, not proven absent.",19/20
GEN-EVD-002,"Add runtime evidence when efficiency, latency, onboard operation, or real-time feasibility is a major claim.",GENERAL_TRANSACTIONS,30,53,0.566,10.1109/tac.2024.3386024; 10.1109/taes.2025.3624705; 10.1109/taes.2025.3550128; 10.1109/tase.2025.3558945,10.1109/taes.2025.3633213; 10.1109/tcns.2026.3722606; 10.1109/tcns.2026.3697318,MEDIUM,papers making an efficiency or deployability claim,no runtime or resource claim is made,"Derived from A-level paper anatomy; support spans 12 journals. Absence means not detected, not proven absent.",7/13
GEN-EVD-003,Use ablation to isolate mechanisms that are explicitly claimed as contributions.,GENERAL_TRANSACTIONS,17,73,0.233,10.1109/taes.2025.3569615; 10.1109/taes.2025.3633213; 10.1109/tase.2026.3689345; 10.1109/tase.2025.3601665,10.1109/tac.2026.3653296; 10.1109/tac.2023.3317728; 10.1109/tac.2024.3386024,OPTIONAL,modular learning or learning-based-control papers,the contribution is a monolithic theory result better tested by proof and controlled comparisons,"Derived from A-level paper anatomy; support spans 12 journals. Absence means not detected, not proven absent.",2/17
GEN-EVD-004,"Test robustness under the named uncertainty, noise, disturbance, or environment variation rather than relying on the main benchmark alone.",GENERAL_TRANSACTIONS,10,45,0.222,10.1109/tac.2022.3144107; 10.1109/tcyb.2021.3057219; 10.1109/tie.2021.3070508; 10.1109/tii.2024.3438241,10.1109/tac.2021.3097706; 10.1109/tac.2026.3653296; 10.1109/taes.2024.3485601,OPTIONAL,papers making robustness claims,robustness is not a claimed property,"Derived from A-level paper anatomy; support spans 8 journals. Absence means not detected, not proven absent.",1/9
GEN-EVD-005,"Support generalization claims with a changed task, environment, scenario, agent count, or domain.",GENERAL_TRANSACTIONS,13,13,1.0,10.1109/tac.2026.3653296; 10.1109/tac.2023.3317728; 10.1109/taes.2025.3633213; 10.1109/tase.2026.3689345,NONE_DETECTED,OPTIONAL,papers making generalization claims,the paper claims only in-distribution performance,"Derived from A-level paper anatomy; support spans 10 journals. Absence means not detected, not proven absent.",2/3
GEN-EVD-006,"Physical validation is a claim-dependent layer; require it for real-world or deployment claims, not for every theoretical paper.",GENERAL_TRANSACTIONS,20,31,0.645,10.1109/tase.2025.3574280; 10.1109/tase.2026.3689345; 10.1109/tcst.2026.3659194; 10.1109/tcyb.2023.3263380,10.1109/taes.2025.3550128; 10.1109/tase.2025.3558945; 10.1109/tase.2024.3424677,MEDIUM,"system, robotics, UAV, vehicle, and deployment papers",the paper is purely theoretical and makes no deployment claim,"Derived from A-level paper anatomy; support spans 12 journals. Absence means not detected, not proven absent.",4/5
GEN-VIS-001,Use figures as scientific evidence carriers and preserve a visible progression from setup or mechanism to outcomes.,GENERAL_TRANSACTIONS,99,99,1.0,10.1109/tac.2021.3097706; 10.1109/tac.2022.3144107; 10.1109/tac.2026.3653296; 10.1109/tac.2023.3317728,NONE_DETECTED,HIGH,"papers with spatial, system, trajectory, or empirical claims",a proof-centric paper can communicate more efficiently with equations and compact tables,"Derived from A-level paper anatomy; support spans 19 journals. Absence means not detected, not proven absent.",20/20
DOM-ROBO-ROB,"When this domain claims robustness, design a controlled stress test tied to the named operating condition.",DOMAIN:ROBOTICS,11,67,0.164,10.1109/tac.2022.3144107; 10.1109/tcyb.2021.3070385; 10.1109/tcyb.2021.3057219; 10.1109/tevc.2025.3573828,10.1109/tac.2021.3097706; 10.1109/tac.2024.3386024; 10.1109/taes.2025.3550128,DOMAIN_SPECIFIC,ROBOTICS,the claim does not invoke the tested property,"Derived from A-level paper anatomy; support spans 8 journals. Absence means not detected, not proven absent.",0/12
DOM-ROBO-REAL,Treat physical validation as domain-conditioned evidence and state clearly when simulation is the validation boundary.,DOMAIN:ROBOTICS,35,67,0.522,10.1109/tai.2024.3351797; 10.1109/tase.2026.3653413; 10.1109/tase.2025.3601665; 10.1109/tcns.2026.3722606,10.1109/tac.2021.3097706; 10.1109/tac.2022.3144107; 10.1109/tac.2024.3386024,DOMAIN_SPECIFIC,ROBOTICS,the claim does not invoke the tested property,"Derived from A-level paper anatomy; support spans 16 journals. Absence means not detected, not proven absent.",7/12
DOM-ROBO-RUN,Report computation time or control/inference frequency when online use is part of the domain claim.,DOMAIN:ROBOTICS,39,67,0.582,10.1109/tac.2024.3386024; 10.1109/taes.2025.3550128; 10.1109/tase.2025.3558945; 10.1109/tase.2026.3653413,10.1109/tac.2021.3097706; 10.1109/tac.2022.3144107; 10.1109/tai.2023.3237665,DOMAIN_SPECIFIC,ROBOTICS,the claim does not invoke the tested property,"Derived from A-level paper anatomy; support spans 16 journals. Absence means not detected, not proven absent.",6/12
DOM-UAV_-ROB,"When this domain claims robustness, design a controlled stress test tied to the named operating condition.",DOMAIN:UAV_AUTONOMY,8,35,0.229,10.1109/tac.2022.3144107; 10.1109/taes.2025.3624705; 10.1109/tase.2026.3689345; 10.1109/tcyb.2023.3246985,10.1109/tac.2021.3097706; 10.1109/taes.2024.3401668; 10.1109/taes.2024.3485601,DOMAIN_SPECIFIC,UAV_AUTONOMY,the claim does not invoke the tested property,"Derived from A-level paper anatomy; support spans 7 journals. Absence means not detected, not proven absent.",1/8
DOM-UAV_-REAL,Treat physical validation as domain-conditioned evidence and state clearly when simulation is the validation boundary.,DOMAIN:UAV_AUTONOMY,12,35,0.343,10.1109/tase.2024.3432405; 10.1109/tase.2026.3689345; 10.1109/tase.2025.3601665; 10.1109/tie.2024.3363761,10.1109/tac.2021.3097706; 10.1109/tac.2022.3144107; 10.1109/taes.2024.3401668,DOMAIN_SPECIFIC,UAV_AUTONOMY,the claim does not invoke the tested property,"Derived from A-level paper anatomy; support spans 7 journals. Absence means not detected, not proven absent.",3/8
DOM-UAV_-RUN,Report computation time or control/inference frequency when online use is part of the domain claim.,DOMAIN:UAV_AUTONOMY,16,35,0.457,10.1109/taes.2025.3624705; 10.1109/taes.2024.3485601; 10.1109/taes.2025.3550128; 10.1109/tase.2025.3558945,10.1109/tac.2021.3097706; 10.1109/tac.2022.3144107; 10.1109/taes.2024.3401668,DOMAIN_SPECIFIC,UAV_AUTONOMY,the claim does not invoke the tested property,"Derived from A-level paper anatomy; support spans 9 journals. Absence means not detected, not proven absent.",3/8
DOM-NAVI-ROB,"When this domain claims robustness, design a controlled stress test tied to the named operating condition.",DOMAIN:NAVIGATION_PLANNING,11,71,0.155,10.1109/tac.2022.3144107; 10.1109/tcyb.2021.3070385; 10.1109/tcyb.2021.3057219; 10.1109/tevc.2025.3573828,10.1109/tac.2021.3097706; 10.1109/tac.2024.3386024; 10.1109/taes.2025.3550128,DOMAIN_SPECIFIC,NAVIGATION_PLANNING,the claim does not invoke the tested property,"Derived from A-level paper anatomy; support spans 8 journals. Absence means not detected, not proven absent.",0/12
DOM-NAVI-REAL,Treat physical validation as domain-conditioned evidence and state clearly when simulation is the validation boundary.,DOMAIN:NAVIGATION_PLANNING,35,71,0.493,10.1109/tai.2024.3351797; 10.1109/tase.2026.3653413; 10.1109/tase.2025.3601665; 10.1109/tcns.2026.3722606,10.1109/tac.2021.3097706; 10.1109/tac.2022.3144107; 10.1109/tac.2024.3386024,DOMAIN_SPECIFIC,NAVIGATION_PLANNING,the claim does not invoke the tested property,"Derived from A-level paper anatomy; support spans 16 journals. Absence means not detected, not proven absent.",8/12
DOM-NAVI-RUN,Report computation time or control/inference frequency when online use is part of the domain claim.,DOMAIN:NAVIGATION_PLANNING,39,71,0.549,10.1109/tac.2024.3386024; 10.1109/taes.2025.3550128; 10.1109/tase.2025.3558945; 10.1109/tase.2026.3653413,10.1109/tac.2021.3097706; 10.1109/tac.2022.3144107; 10.1109/taes.2025.3633213,DOMAIN_SPECIFIC,NAVIGATION_PLANNING,the claim does not invoke the tested property,"Derived from A-level paper anatomy; support spans 16 journals. Absence means not detected, not proven absent.",6/12
DOM-RL_M-ROB,"When this domain claims robustness, design a controlled stress test tied to the named operating condition.",DOMAIN:RL_MARL,14,72,0.194,10.1109/taes.2025.3624705; 10.1109/tase.2026.3689345; 10.1109/tcyb.2023.3246985; 10.1109/tcyb.2021.3057219,10.1109/tac.2026.3653296; 10.1109/tac.2023.3317728; 10.1109/tac.2024.3386024,DOMAIN_SPECIFIC,RL_MARL,the claim does not invoke the tested property,"Derived from A-level paper anatomy; support spans 10 journals. Absence means not detected, not proven absent.",1/17
DOM-RL_M-REAL,Treat physical validation as domain-conditioned evidence and state clearly when simulation is the validation boundary.,DOMAIN:RL_MARL,31,72,0.431,10.1109/tai.2024.3351797; 10.1109/tase.2024.3432405; 10.1109/tase.2025.3574280; 10.1109/tase.2026.3689345,10.1109/tac.2026.3653296; 10.1109/tac.2023.3317728; 10.1109/tac.2024.3386024,DOMAIN_SPECIFIC,RL_MARL,the claim does not invoke the tested property,"Derived from A-level paper anatomy; support spans 14 journals. Absence means not detected, not proven absent.",8/17
DOM-RL_M-RUN,Report computation time or control/inference frequency when online use is part of the domain claim.,DOMAIN:RL_MARL,34,72,0.472,10.1109/tac.2024.3386024; 10.1109/taes.2025.3624705; 10.1109/tase.2025.3558945; 10.1109/tase.2025.3574280,10.1109/tac.2026.3653296; 10.1109/tac.2023.3317728; 10.1109/taes.2024.3401668,DOMAIN_SPECIFIC,RL_MARL,the claim does not invoke the tested property,"Derived from A-level paper anatomy; support spans 16 journals. Absence means not detected, not proven absent.",7/17
