Rule_ID,Paper_ID,DOI,Relation,Evidence_field,Evidence_value,Source_PDF,Evidence_status
GEN-ARCH-001,P002,10.1109/tac.2022.3144107,SUPPORT,Problem_Formulation_independent,True,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Restrepo_2022_TAC_Robust-Consensus-of-High-Order-Systems-Under-Output-Constraints-Applic.pdf,TRACEABLE_AUTOMATED_EXTRACTION
GEN-ARCH-001,P005,10.1109/tac.2024.3386024,SUPPORT,Problem_Formulation_independent,True,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Hustiu_2024_TAC_On-Multirobot-Path-Planning-Based-on-Petri-Net-Models-and-LTL-Specific.pdf,TRACEABLE_AUTOMATED_EXTRACTION
GEN-ARCH-001,P008,10.1109/taes.2025.3624705,SUPPORT,Problem_Formulation_independent,True,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAES\Ren_2026_TAES_Learning-Based-Model-Predictive-Control-for-Cooperative-Spacecraft-Swa.pdf,TRACEABLE_AUTOMATED_EXTRACTION
GEN-ARCH-001,P011,10.1109/taes.2025.3633213,SUPPORT,Problem_Formulation_independent,True,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAES\Liu_2026_TAES_A-Deep-Reinforcement-Learning-Based-UAV-Trajectory-Planning-Method-for.pdf,TRACEABLE_AUTOMATED_EXTRACTION
GEN-ARCH-001,P001,10.1109/tac.2021.3097706,COUNTEREXAMPLE,Problem_Formulation_independent,False,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Coulson_2021_TAC_Distributionally-Robust-Chance-Constrained-Data-Enabled-Predictive-Con.pdf,NOT_DETECTED; manual confirmation recommended
GEN-ARCH-001,P003,10.1109/tac.2026.3653296,COUNTEREXAMPLE,Problem_Formulation_independent,False,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Deplano_2026_TAC_Optimization-and-Learning-in-Open-Multiagent-Systems.pdf,NOT_DETECTED; manual confirmation recommended
GEN-ARCH-001,P004,10.1109/tac.2023.3317728,COUNTEREXAMPLE,Problem_Formulation_independent,False,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Oliva_2023_TAC_A-Sum-of-States-Preservation-Framework-for-Open-Multiagent-Systems-Wit.pdf,NOT_DETECTED; manual confirmation recommended
GEN-EVD-001,P001,10.1109/tac.2021.3097706,SUPPORT,Simulation_presence,True,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Coulson_2021_TAC_Distributionally-Robust-Chance-Constrained-Data-Enabled-Predictive-Con.pdf,TRACEABLE_AUTOMATED_EXTRACTION
GEN-EVD-001,P002,10.1109/tac.2022.3144107,SUPPORT,Simulation_presence,True,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Restrepo_2022_TAC_Robust-Consensus-of-High-Order-Systems-Under-Output-Constraints-Applic.pdf,TRACEABLE_AUTOMATED_EXTRACTION
GEN-EVD-001,P003,10.1109/tac.2026.3653296,SUPPORT,Simulation_presence,True,D:\ieee my skills\IEEE_TRANS_CORPUS\papers\TAC\Deplano_2026_TAC_Optimization-and-Learning-in-Open-Multiagent-Systems.pdf,TRACEABLE_AUTOMATED_EXTRACTION
