Paper_ID,DOI,Title,Journal,Primary_exemplar_role,Secondary_roles,Why_exemplary,Relevant_domain,Relevant_journal_style,Recommended_future_card_type,Possible_limitations
P082,10.1109/tro.2025.3530348,GCBF+: A Neural Graph Control Barrier Function Framework for Distributed Safe Multiagent Control,TRO,INTRODUCTION,STRUCTURE; PROBLEM_FORMULATION; THEORY; EXPERIMENT_ARCHITECTURE; FIGURE; TABLE; RESULT_NARRATIVE,"Coverage-first candidate with 7 detected main sections, 15 figures, and evidence roles: MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; REAL_WORLD",UAV autonomy paper,TRO,INTRODUCTION,baseline count requires manual confirmation
P045,10.1109/tie.2024.3363761,Semantic-Driven Autonomous Visual Navigation for Unmanned Aerial Vehicles,TIE,STRUCTURE,REAL_WORLD; RL_MARL; UAV; PLANNING,"Coverage-first candidate with 8 detected main sections, 8 figures, and evidence roles: MAIN_COMPARISON; GENERALIZATION; REAL_WORLD",UAV autonomy paper,TIE,STRUCTURE,baseline count requires manual confirmation
P027,10.1109/tcst.2025.3533378,Robust Predictive Motion Planning by Learning Obstacle Uncertainty,TCST,PROBLEM_FORMULATION,STRUCTURE; THEORY; FIGURE; TABLE; RESULT_NARRATIVE; REAL_WORLD; CONTROL,"Coverage-first candidate with 8 detected main sections, 15 figures, and evidence roles: MAIN_COMPARISON; RUNTIME; REAL_WORLD; CROSS_SCENARIO; QUALITATIVE_VISUALIZATION",RL / MARL method paper,TCST,PROBLEM_FORMULATION,baseline count requires manual confirmation
P092,10.1109/tsmc.2026.3720408,Socially Aware Robot Crowd Navigation via Online Uncertainty-Driven Risk Adaptation,TSMCS,METHODOLOGY,STRUCTURE; EXPERIMENT_ARCHITECTURE; FIGURE; TABLE; RESULT_NARRATIVE; REAL_WORLD; CONTROL,"Coverage-first candidate with 6 detected main sections, 10 figures, and evidence roles: MAIN_COMPARISON; GENERALIZATION; RUNTIME; REAL_WORLD; QUALITATIVE_VISUALIZATION",RL / MARL method paper,TSMCS,METHODOLOGY,baseline count requires manual confirmation
P046,10.1109/tie.2025.3536628,Model Predictive Optimization and Terminal Sliding Mode Motion Control for Mobile Robot With Obstacle Avoidance,TIE,THEORY,EXPERIMENT_ARCHITECTURE; FIGURE; RESULT_NARRATIVE; REAL_WORLD; CONTROL; PLANNING,"Coverage-first candidate with 3 detected main sections, 17 figures, and evidence roles: MAIN_COMPARISON; GENERALIZATION; RUNTIME; REAL_WORLD",Navigation / planning paper,TIE,THEORY,baseline count requires manual confirmation
P083,10.1109/tro.2021.3137751,"Kimera-Multi: Robust, Distributed, Dense Metric-Semantic SLAM for Multi-Robot Systems",TRO,EXPERIMENT_ARCHITECTURE,INTRODUCTION; STRUCTURE; FIGURE; TABLE; RESULT_NARRATIVE; RL_MARL; MULTI_AGENT,"Coverage-first candidate with 7 detected main sections, 15 figures, and evidence roles: MAIN_COMPARISON; ABLATION; ROBUSTNESS; RUNTIME; FAILURE_CASE",RL / MARL method paper,TRO,EXPERIMENT_ARCHITECTURE,baseline count requires manual confirmation; no explicit physical-validation signal detected
P077,10.1109/tnnls.2021.3056046,Certifiable Robustness to Adversarial State Uncertainty in Deep Reinforcement Learning,TNNLS,FIGURE,INTRODUCTION; CONTROL; RL_MARL; PLANNING,"Coverage-first candidate with 2 detected main sections, 11 figures, and evidence roles: MAIN_COMPARISON; ROBUSTNESS; RUNTIME",Autonomous vehicle paper,TNNLS,FIGURE,baseline count requires manual confirmation; no explicit physical-validation signal detected
P033,10.1109/tcyb.2023.3246985,Learning-Based Multi-UAV Flocking Control With Limited Visual Field and Instinctive Repulsion,TCYB,TABLE,INTRODUCTION; RESULT_NARRATIVE; CONTROL; RL_MARL; MULTI_AGENT; UAV,"Coverage-first candidate with 2 detected main sections, 6 figures, and evidence roles: MAIN_COMPARISON; ROBUSTNESS; GENERALIZATION; CROSS_SCENARIO",UAV autonomy paper,TCYB,TABLE,baseline count requires manual confirmation; no explicit physical-validation signal detected
P016,10.1109/tase.2025.3558945,Dynamic Charging and Path Planning for UAV-Powered Rechargeable WSNs Using Multi-Agent Deep Reinforcement Learning,TASE,RESULT_NARRATIVE,INTRODUCTION; STRUCTURE; PROBLEM_FORMULATION; TABLE; RL_MARL; MULTI_AGENT; UAV,"Coverage-first candidate with 7 detected main sections, 8 figures, and evidence roles: MAIN_COMPARISON; SCALABILITY; RUNTIME",UAV autonomy paper,TASE,RESULT_NARRATIVE,baseline count requires manual confirmation; no explicit physical-validation signal detected
P047,10.1109/tie.2023.3306405,Real-Time Dynamic Obstacle Avoidance for Robot Manipulators Based on Cascaded Nonlinear MPC With Artificial Potential Field,TIE,REAL_WORLD,INTRODUCTION; STRUCTURE; FIGURE; RESULT_NARRATIVE; CONTROL; PLANNING,"Coverage-first candidate with 5 detected main sections, 11 figures, and evidence roles: MAIN_COMPARISON; RUNTIME; REAL_WORLD",Navigation / planning paper,TIE,REAL_WORLD,baseline count requires manual confirmation
P017,10.1109/tase.2024.3432405,Constrained Reinforcement Learning Using Distributional Representation for Trustworthy Quadrotor UAV Tracking Control,TASE,CONTROL,INTRODUCTION; STRUCTURE; PROBLEM_FORMULATION; THEORY; TABLE; RESULT_NARRATIVE; REAL_WORLD,"Coverage-first candidate with 7 detected main sections, 9 figures, and evidence roles: MAIN_COMPARISON; GENERALIZATION; SCALABILITY; COMPUTATIONAL_COMPLEXITY; REAL_WORLD; SIM_TO_REAL",UAV autonomy paper,TASE,CONTROL,baseline count requires manual confirmation
P066,10.1109/tiv.2025.3598768,Securing End-to-End Reinforcement Learning-Driven Autonomous Driving: A Control Command Utility-Based Intrusion Response System,TIV,RL_MARL,INTRODUCTION; EXPERIMENT_ARCHITECTURE; TABLE; REAL_WORLD,"Coverage-first candidate with 3 detected main sections, 6 figures, and evidence roles: MAIN_COMPARISON; PARAMETER_SENSITIVITY; GENERALIZATION; SCALABILITY; RUNTIME; COMPUTATIONAL_COMPLEXITY; REAL_WORLD",Autonomous vehicle paper,TIV,RL_MARL,baseline count requires manual confirmation
P085,10.1109/tro.2022.3232300,Maximum-Entropy Multi-Agent Dynamic Games: Forward and Inverse Solutions,TRO,MULTI_AGENT,STRUCTURE; THEORY; TABLE; RESULT_NARRATIVE; RL_MARL; PLANNING,"Coverage-first candidate with 6 detected main sections, 7 figures, and evidence roles: MAIN_COMPARISON; GENERALIZATION; RUNTIME; CROSS_SCENARIO",RL / MARL method paper,TRO,MULTI_AGENT,baseline count requires manual confirmation; no explicit physical-validation signal detected
